!!SBtab Document='AKAP79' Version='1.0' TableName='X0uM_cAMPCaN_AKAP79_0_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0103T001	-15	99.9383	0.454658
E0103T002	-10	99.9691	0.882198
E0103T003	-5	99.5988	0.313237
E0103T004	0	NA	NA
E0103T005	5	97.9938	1.47213
E0103T006	10	98.1173	1.97892
E0103T007	15	97.0062	0.987654
E0103T008	20	97.8704	1.59661
E0103T009	25	98.642	1.12939
E0103T010	30	99.4753	1.41875
E0103T011	35	98.7037	1.52801
E0103T012	40	99.1049	1.44667
E0103T013	45	99.2593	1.393
E0103T014	50	98.7346	1.35381
E0103T015	55	98.1481	0.682511
E0103T016	60	98.179	1.08157
E0103T017	65	99.4444	1.1315
E0103T018	70	97.3148	1.10466
E0103T019	75	97.6852	0.437576
E0103T020	80	99.4753	0.909316
E0103T021	85	99.0123	1.46824
E0103T022	90	97.4691	1.05617
E0103T023	95	98.3333	0.880036
E0103T024	100	98.1173	0.294426
E0103T025	105	98.8272	0.778977
E0103T026	110	100.556	1.12008
E0103T027	115	99.5988	0.788095
E0103T028	120	99.1358	1.22644
E0103T029	125	100.556	1.46986
E0103T030	130	98.1173	1.50667
E0103T031	135	99.8765	1.49333
E0103T032	140	99.1049	1.06157
E0103T033	145	98.7346	1.51706
E0103T034	150	97.9938	1.61293
E0103T035	155	98.1173	0.852545
E0103T036	160	99.1049	1.03706
E0103T037	165	99.4753	0.882198
E0103T038	170	98.5185	1.26393
E0103T039	175	98.7654	1.41875
E0103T040	180	99.0123	1.3196
E0103T041	185	98.4877	2.22308
E0103T042	190	99.6296	0.719209
E0103T043	195	99.4753	0.941737
E0103T044	200	98.5802	0.659801
E0103T045	205	99.6605	0.697695
E0103T046	210	98.8272	0.802469
E0103T047	215	99.6914	0.596087
E0103T048	220	99.7222	0.141438
E0103T049	225	98.0864	0.878953
E0103T050	230	98.9815	1.33966
E0103T051	235	98.9198	1.41168
E0103T052	240	99.6296	1.22488
E0103T053	245	97.9321	1.52552
E0103T054	250	97.4691	2.03867
E0103T055	255	98.4877	0.482114
E0103T056	260	99.537	2.46083
E0103T057	265	99.3519	0.860331
E0103T058	270	98.179	1.65318
E0103T059	275	99.3827	0.401235
E0103T060	280	98.3642	1.34534
E0103T061	285	99.6914	1.47213
E0103T062	290	99.6605	0.454658
E0103T063	295	97.9321	1.41673
E0103T064	300	99.2901	1.27219
E0103T065	305	98.4259	0.141438
E0103T066	310	99.6914	1.77489
E0103T067	315	98.3642	1.30545
E0103T068	320	97.963	1.06783
E0103T069	325	98.7963	1.22255
E0103T070	330	98.2716	0.479141
E0103T071	335	98.2716	1.28337
E0103T072	340	97.7778	1.63114
E0103T073	345	99.8765	0.864198
E0103T074	350	99.6914	1.04255
E0103T075	355	99.7222	0.515534
E0103T076	360	99.2284	0.576591
E0103T077	365	99.6296	1.19417
E0103T078	370	99.0741	1.08113
E0103T079	375	98.8272	1.52739
E0103T080	380	99.0741	1.03107
E0103T081	385	98.0556	0.282875
E0103T082	390	100	0.616512
E0103T083	395	99.1975	1.59511
E0103T084	400	99.1358	1.46629
E0103T085	405	100.895	1.45946
E0103T086	410	100.185	0.776528
E0103T087	415	99.8457	0.993425
E0103T088	420	100	0.927468
E0103T089	425	98.642	1.56983
E0103T090	430	98.7654	0.485069
E0103T091	435	99.9383	1.49811
E0103T092	440	98.9198	0.44513
E0103T093	445	99.2284	1.3882
E0103T094	450	100.586	1.40458
E0103T095	455	100.864	0.980394
E0103T096	460	99.5988	1.22411
E0103T097	465	99.537	1.12008
E0103T098	470	99.321	0.994862
E0103T099	475	99.9383	1.23919
E0103T100	480	100.494	0.222565
E0103T101	485	98.6728	1.03843
E0103T102	490	99.5988	1.09078
E0103T103	495	100.154	1.0343
E0103T104	500	99.784	1.21943
E0103T105	505	101.142	0.322232
E0103T106	510	100.741	1.22488
E0103T107	515	99.7222	0.456748
E0103T108	520	100.247	0.92952
E0103T109	525	101.049	1.54599
E0103T110	530	99.7531	0.20239
E0103T111	535	101.142	0.793516
E0103T112	540	100.401	1.65145
E0103T113	545	99.6296	0.403602
E0103T114	550	100.34	0.828748
E0103T115	555	99.5062	1.8405
E0103T116	560	100.216	0.687378
E0103T117	565	98.8889	2.40563
E0103T118	570	99.6296	0.694959
E0103T119	575	100.988	1.18617
E0103T120	580	99.3519	1.21434
E0103T121	585	99.3827	0.92025
E0103T122	590	100.895	0.941737
E0103T123	595	99.3827	1.42076
E0103T124	600	100.772	1.41168
E0103T125	605	100.278	0.734931
