!!SBtab Document='AKAP79' Version='1.0' TableName='X100nM_cAMPno_CaN_100_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0201T001	-15	99.9383	0.689454
E0201T002	-10	100.71	1.33146
E0201T003	-5	100.093	1.44634
E0201T004	0	NA	NA
E0201T005	5	100.062	1.35908
E0201T006	10	100.463	1.68796
E0201T007	15	98.4259	2.14434
E0201T008	20	100.988	1.17284
E0201T009	25	99.1667	0.798304
E0201T010	30	99.537	1.25029
E0201T011	35	99.2593	1.81049
E0201T012	40	98.2716	1.66867
E0201T013	45	99.537	1.03245
E0201T014	50	100.309	1.71095
E0201T015	55	99.4753	1.15194
E0201T016	60	97.8086	1.01618
E0201T017	65	98.3333	1.69977
E0201T018	70	99.6605	0.535474
E0201T019	75	98.7963	0.899309
E0201T020	80	99.6296	0.630265
E0201T021	85	99.7222	1.31707
E0201T022	90	99.2901	1.07095
E0201T023	95	98.8272	0.540784
E0201T024	100	99.6914	1.08553
E0201T025	105	99.5988	0.20239
E0201T026	110	98.4877	0.758531
E0201T027	115	100.586	0.828748
E0201T028	120	99.1049	0.548654
E0201T029	125	100.216	0.93412
E0201T030	130	101.759	0.374209
E0201T031	135	101.019	1.01992
E0201T032	140	100.37	0.742667
E0201T033	145	101.019	0.456748
E0201T034	150	101.636	1.09731
E0201T035	155	101.759	0.892931
E0201T036	160	101.667	1.17972
E0201T037	165	99.8148	1.54105
E0201T038	170	101.728	0.619594
E0201T039	175	101.142	1.38408
E0201T040	180	101.049	1.07627
E0201T041	185	102.315	1.36397
E0201T042	190	102.407	0.979908
E0201T043	195	101.481	0.734931
E0201T044	200	102.377	1.20529
E0201T045	205	101.852	0.855334
E0201T046	210	102.593	2.36247
E0201T047	215	101.512	0.804248
E0201T048	220	102.531	2.85606
E0201T049	225	103.611	3.12125
E0201T050	230	102.438	1.35381
E0201T051	235	103.333	1.83869
E0201T052	240	102.84	1.55152
E0201T053	245	104.321	3.03977
E0201T054	250	104.475	2.14656
E0201T055	255	104.722	3.25306
E0201T056	260	105.185	2.1833
E0201T057	265	103.642	3.67828
E0201T058	270	104.938	3.18889
E0201T059	275	105.432	3.63137
E0201T060	280	103.827	3.56385
E0201T061	285	105.525	3.3029
E0201T062	290	105.957	2.58394
E0201T063	295	105.154	2.93405
E0201T064	300	107.13	2.27371
E0201T065	305	106.389	3.56572
E0201T066	310	105.278	3.36788
E0201T067	315	106.481	4.69856
E0201T068	320	106.296	3.07838
E0201T069	325	106.389	3.11163
E0201T070	330	107.068	3.41897
E0201T071	335	107.5	2.85239
E0201T072	340	107.716	4.1396
E0201T073	345	107.438	4.47818
E0201T074	350	109.414	4.70079
E0201T075	355	109.29	4.34638
E0201T076	360	108.673	3.43689
E0201T077	365	109.969	3.3642
E0201T078	370	109.012	5.21632
E0201T079	375	109.259	4.40797
E0201T080	380	106.636	4.18287
E0201T081	385	109.012	4.6608
E0201T082	390	109.506	4.55443
E0201T083	395	109.537	3.96025
E0201T084	400	109.846	4.51599
E0201T085	405	112.469	6.23182
E0201T086	410	111.451	6.22057
E0201T087	415	109.938	6.2348
E0201T088	420	111.543	4.88386
E0201T089	425	112.809	5.58668
E0201T090	430	110.802	5.16789
E0201T091	435	113.148	6.47553
E0201T092	440	113.426	5.38021
E0201T093	445	112.716	6.9406
E0201T094	450	113.272	5.22754
E0201T095	455	112.284	6.32129
E0201T096	460	113.611	5.05203
E0201T097	465	112.778	7.02789
E0201T098	470	113.827	5.25372
E0201T099	475	112.315	6.344
E0201T100	480	114.444	6.41122
E0201T101	485	114.969	7.04603
E0201T102	490	116.049	6.70798
E0201T103	495	113.765	6.63602
E0201T104	500	114.506	7.1038
E0201T105	505	115.556	6.86872
E0201T106	510	115.895	7.57758
E0201T107	515	117.099	6.28388
E0201T108	520	116.512	7.20803
E0201T109	525	115.71	5.19409
E0201T110	530	117.377	7.75152
E0201T111	535	117.747	6.30386
E0201T112	540	118.179	6.47847
E0201T113	545	116.79	6.51783
E0201T114	550	117.13	6.41122
E0201T115	555	120	7.3757
E0201T116	560	117.284	5.60888
E0201T117	565	117.16	8.21823
E0201T118	570	116.944	6.17832
E0201T119	575	117.191	6.356
E0201T120	580	118.642	7.25624
E0201T121	585	118.21	7.1042
E0201T122	590	118.272	7.26273
E0201T123	595	116.636	6.66181
E0201T124	600	119.66	6.47538
E0201T125	605	118.395	7.38603
