!!SBtab Document='AKAP79' Version='1.0' TableName='X2000nM_cAMPCaN_AKAP79_2_uM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0303T001	-15	100.309	1.11282
E0303T002	-10	99.0741	0.668408
E0303T003	-5	99.5988	1.37994
E0303T004	0	NA	NA
E0303T005	5	101.451	0.282875
E0303T006	10	100.494	0.927468
E0303T007	15	101.852	0.485069
E0303T008	20	102.13	0.832189
E0303T009	25	104.846	0.588851
E0303T010	30	105.185	0.882198
E0303T011	35	106.111	0.333847
E0303T012	40	107.099	0.163318
E0303T013	45	108.457	1.17649
E0303T014	50	108.673	0.694959
E0303T015	55	110.216	1.30654
E0303T016	60	113.519	1.24264
E0303T017	65	112.377	2.06098
E0303T018	70	113.488	0.081659
E0303T019	75	115.988	2.21342
E0303T020	80	117.654	1.14198
E0303T021	85	116.914	1.77489
E0303T022	90	117.099	2.16226
E0303T023	95	120.988	1.28634
E0303T024	100	120.895	0.96225
E0303T025	105	122.84	2.48241
E0303T026	110	122.315	2.06213
E0303T027	115	124.568	2.08693
E0303T028	120	127.84	2.9865
E0303T029	125	127.531	1.4174
E0303T030	130	128.21	2.39332
E0303T031	135	128.086	3.02705
E0303T032	140	130.093	1.25295
E0303T033	145	129.568	1.63114
E0303T034	150	133.395	0.375479
E0303T035	155	134.722	0.865849
E0303T036	160	135.185	2.57564
E0303T037	165	134.043	1.22488
E0303T038	170	136.389	2.43632
E0303T039	175	137.407	1.77221
E0303T040	180	137.191	2.35116
E0303T041	185	138.025	2.3304
E0303T042	190	138.056	1.58313
E0303T043	195	139.784	2.03236
E0303T044	200	142.84	3.75936
E0303T045	205	142.068	0.852545
E0303T046	210	142.377	1.01571
E0303T047	215	143.673	0.616512
E0303T048	220	144.784	1.40661
E0303T049	225	145.401	1.01195
E0303T050	230	145.278	1.31418
E0303T051	235	147.222	3.41311
E0303T052	240	148.858	2.15851
E0303T053	245	149.043	0.950297
E0303T054	250	147.87	1.14281
E0303T055	255	145.525	1.04255
E0303T056	260	147.006	0.62419
E0303T057	265	150.185	2.14922
E0303T058	270	149.938	1.55306
E0303T059	275	147.654	1.69753
E0303T060	280	151.883	2.26447
E0303T061	285	153.086	0.737519
E0303T062	290	152.191	0.267292
E0303T063	295	150.648	2.18003
E0303T064	300	153.179	1.51235
E0303T065	305	155	1.8774
E0303T066	310	153.148	1.55795
E0303T067	315	153.704	1.03706
E0303T068	320	157.346	1.49715
E0303T069	325	155.432	0.648148
E0303T070	330	151.636	1.47407
E0303T071	335	158.117	0.910886
E0303T072	340	154.259	1.44371
E0303T073	345	158.92	1.11154
E0303T074	350	157.006	1.53361
E0303T075	355	156.636	1.12686
E0303T076	360	160.741	1.19217
E0303T077	365	158.272	1.1777
E0303T078	370	156.235	0.386727
E0303T079	375	157.407	1.4447
E0303T080	380	157.16	1.66867
E0303T081	385	160.586	1.46499
E0303T082	390	159.63	2.79947
E0303T083	395	156.605	0.676905
E0303T084	400	161.111	2.68377
E0303T085	405	160.185	2.13588
E0303T086	410	163.025	1.58072
E0303T087	415	162.191	3.06955
E0303T088	420	162.191	1.39437
E0303T089	425	161.019	1.44733
E0303T090	430	161.698	0.721853
E0303T091	435	160.926	0.630265
E0303T092	440	162.531	2.80915
E0303T093	445	161.049	0.694959
E0303T094	450	164.228	2.53594
E0303T095	455	161.852	0.417523
E0303T096	460	162.685	2.47607
E0303T097	465	161.512	1.16018
E0303T098	470	164.228	2.00475
E0303T099	475	163.056	2.53744
E0303T100	480	164.444	3.42189
E0303T101	485	166.451	0.489954
E0303T102	490	164.877	0.379266
E0303T103	495	165.617	1.30326
E0303T104	500	166.019	2.30636
E0303T105	505	164.599	2.46218
E0303T106	510	167.438	2.10624
E0303T107	515	163.241	1.04072
E0303T108	520	165.309	0.375479
E0303T109	525	165.741	0.991985
E0303T110	530	164.753	0.941737
E0303T111	535	166.265	0.325174
E0303T112	540	165.37	2.59755
E0303T113	545	166.389	1.60642
E0303T114	550	166.481	1.07627
E0303T115	555	166.667	0.339506
E0303T116	560	164.877	1.3007
E0303T117	565	167.747	2.75211
E0303T118	570	167.037	1.62265
E0303T119	575	164.877	0.695644
E0303T120	580	166.296	0.171845
E0303T121	585	168.21	2.13923
E0303T122	590	169.167	0.681113
E0303T123	595	166.265	0.717883
E0303T124	600	168.642	0.835046
E0303T125	605	167.5	1.82882
