!!SBtab Document='AKAP79' Version='1.0' TableName='X2000nM_cAMPCaN_only_2_uM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0302T001	-15	100.772	0.711887
E0302T002	-10	102.191	0.401235
E0302T003	-5	100.525	0.927468
E0302T004	0	NA	NA
E0302T005	5	101.111	0.282875
E0302T006	10	103.148	0.56575
E0302T007	15	102.747	0.432099
E0302T008	20	102.654	0.40478
E0302T009	25	105.062	1.14281
E0302T010	30	106.08	1.07317
E0302T011	35	109.537	0.50996
E0302T012	40	110.432	1.31418
E0302T013	45	114.043	1.60137
E0302T014	50	117.222	2.83397
E0302T015	55	117.438	0.848625
E0302T016	60	120.895	0.515534
E0302T017	65	122.623	0.454658
E0302T018	70	125.679	0.653272
E0302T019	75	128.272	0.644463
E0302T020	80	128.858	2.42417
E0302T021	85	132.438	1.00344
E0302T022	90	132.87	0.375479
E0302T023	95	135.463	1.34923
E0302T024	100	137.222	0.505269
E0302T025	105	137.531	0.576591
E0302T026	110	139.074	0.821823
E0302T027	115	144.722	1.29225
E0302T028	120	143.611	1.48148
E0302T029	125	146.574	1.56527
E0302T030	130	147.253	0.980394
E0302T031	135	147.809	0.97259
E0302T032	140	150.432	0.676905
E0302T033	145	150.833	1.04347
E0302T034	150	152.84	2.46547
E0302T035	155	156.235	0.252634
E0302T036	160	156.173	1.14281
E0302T037	165	155.185	1.43477
E0302T038	170	158.981	0.767892
E0302T039	175	161.389	0.742667
E0302T040	180	163.117	1.48566
E0302T041	185	161.451	1.14323
E0302T042	190	162.13	0.448328
E0302T043	195	161.883	2.3218
E0302T044	200	163.58	2.38015
E0302T045	205	159.568	2.00118
E0302T046	210	162.315	0.749053
E0302T047	215	166.574	1.83428
E0302T048	220	162.531	1.70089
E0302T049	225	162.932	1.72922
E0302T050	230	163.642	1.01992
E0302T051	235	167.099	0.513683
E0302T052	240	164.66	0.558122
E0302T053	245	168.241	0.355943
E0302T054	250	168.426	0.950798
E0302T055	255	166.358	1.43078
E0302T056	260	167.253	1.82177
E0302T057	265	170.123	1.91184
E0302T058	270	167.685	3.61269
E0302T059	275	167.099	0.970138
E0302T060	280	169.321	1.65836
E0302T061	285	170.494	2.48356
E0302T062	290	169.537	2.48816
E0302T063	295	171.759	2.24525
E0302T064	300	169.969	0.857558
E0302T065	305	169.753	1.79411
E0302T066	310	168.457	2.47318
E0302T067	315	169.228	0.878953
E0302T068	320	169.383	1.26317
E0302T069	325	169.63	0.493827
E0302T070	330	168.858	2.58836
E0302T071	335	171.358	2.0545
E0302T072	340	171.79	1.76844
E0302T073	345	172.932	1.30618
E0302T074	350	171.759	0.322232
E0302T075	355	170.123	1.34428
E0302T076	360	171.728	2.41511
E0302T077	365	170.71	0.571613
E0302T078	370	172.716	3.17301
E0302T079	375	173.117	1.54414
E0302T080	380	172.994	0.911931
E0302T081	385	174.074	1.74403
E0302T082	390	171.543	1.59392
E0302T083	395	173.086	2.99287
E0302T084	400	173.858	2.74691
E0302T085	405	171.728	1.30106
E0302T086	410	173.457	1.39129
E0302T087	415	173.148	2.4451
E0302T088	420	172.747	2.32057
E0302T089	425	172.593	1.42478
E0302T090	430	173.827	1.14946
E0302T091	435	172.778	3.39548
E0302T092	440	173.364	1.47504
E0302T093	445	168.426	2.30987
E0302T094	450	174.136	3.12125
E0302T095	455	169.537	2.04194
E0302T096	460	171.08	1.96152
E0302T097	465	172.87	3.13192
E0302T098	470	174.105	0.932078
E0302T099	475	176.019	2.64227
E0302T100	480	175.34	3.09151
E0302T101	485	173.981	2.09945
E0302T102	490	174.043	3.1153
E0302T103	495	173.086	1.18375
E0302T104	500	173.858	2.82892
E0302T105	505	172.562	3.88889
E0302T106	510	171.883	2.93891
E0302T107	515	172.222	3.13374
E0302T108	520	173.302	2.94571
E0302T109	525	171.883	0.849186
E0302T110	530	174.136	1.82177
E0302T111	535	173.611	1.09861
E0302T112	540	173.148	3.07389
E0302T113	545	174.167	4.85157
E0302T114	550	173.395	3.53688
E0302T115	555	174.784	2.04637
E0302T116	560	171.481	3.67906
E0302T117	565	174.012	3.04853
E0302T118	570	171.698	2.18744
E0302T119	575	172.284	1.7644
E0302T120	580	174.105	2.30057
E0302T121	585	176.235	2.05264
E0302T122	590	173.395	1.66438
E0302T123	595	172.191	3.76037
E0302T124	600	173.889	0.417523
E0302T125	605	174.012	2.35237
