!!SBtab Document='AKAP79' Version='1.0' TableName='X2000nM_cAMPno_CaN_2_uM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0301T001	-15	99.4136	-15
E0301T002	-10	100.617	-10
E0301T003	-5	101.944	-5
E0301T004	0	NA	0
E0301T005	5	101.204	5
E0301T006	10	102.037	10
E0301T007	15	102.346	15
E0301T008	20	103.765	20
E0301T009	25	105.463	25
E0301T010	30	106.204	30
E0301T011	35	110.648	35
E0301T012	40	110.988	40
E0301T013	45	112.438	45
E0301T014	50	114.506	50
E0301T015	55	118.611	55
E0301T016	60	120.278	60
E0301T017	65	123.364	65
E0301T018	70	126.821	70
E0301T019	75	127.901	75
E0301T020	80	129.846	80
E0301T021	85	133.58	85
E0301T022	90	134.691	90
E0301T023	95	137.13	95
E0301T024	100	139.105	100
E0301T025	105	142.716	105
E0301T026	110	140.247	110
E0301T027	115	145.71	115
E0301T028	120	144.63	120
E0301T029	125	148.673	125
E0301T030	130	151.142	130
E0301T031	135	150.463	135
E0301T032	140	152.16	140
E0301T033	145	155	145
E0301T034	150	156.944	150
E0301T035	155	158.673	155
E0301T036	160	157.037	160
E0301T037	165	157.346	165
E0301T038	170	158.117	170
E0301T039	175	162.685	175
E0301T040	180	162.901	180
E0301T041	185	161.08	185
E0301T042	190	164.475	190
E0301T043	195	161.173	195
E0301T044	200	167.469	200
E0301T045	205	164.938	205
E0301T046	210	165.957	210
E0301T047	215	164.475	215
E0301T048	220	168.179	220
E0301T049	225	166.265	225
E0301T050	230	169.815	230
E0301T051	235	166.142	235
E0301T052	240	169.259	240
E0301T053	245	169.599	245
E0301T054	250	167.809	250
E0301T055	255	167.809	255
E0301T056	260	167.099	260
E0301T057	265	172.685	265
E0301T058	270	172.222	270
E0301T059	275	171.914	275
E0301T060	280	169.568	280
E0301T061	285	168.457	285
E0301T062	290	169.877	290
E0301T063	295	172.778	295
E0301T064	300	173.179	300
E0301T065	305	173.395	305
E0301T066	310	172.809	310
E0301T067	315	173.58	315
E0301T068	320	173.117	320
E0301T069	325	172.16	325
E0301T070	330	173.457	330
E0301T071	335	172.315	335
E0301T072	340	173.272	340
E0301T073	345	171.852	345
E0301T074	350	173.086	350
E0301T075	355	175.062	355
E0301T076	360	169.259	360
E0301T077	365	174.753	365
E0301T078	370	174.074	370
E0301T079	375	174.506	375
E0301T080	380	175.556	380
E0301T081	385	175.525	385
E0301T082	390	175.463	390
E0301T083	395	173.765	395
E0301T084	400	176.605	400
E0301T085	405	173.302	405
E0301T086	410	173.117	410
E0301T087	415	172.963	415
E0301T088	420	174.784	420
E0301T089	425	174.877	425
E0301T090	430	174.66	430
E0301T091	435	172.84	435
E0301T092	440	175.525	440
E0301T093	445	172.5	445
E0301T094	450	171.852	450
E0301T095	455	172.13	455
E0301T096	460	172.377	460
E0301T097	465	172.994	465
E0301T098	470	175.37	470
E0301T099	475	176.481	475
E0301T100	480	174.136	480
E0301T101	485	174.105	485
E0301T102	490	174.259	490
E0301T103	495	172.191	495
E0301T104	500	174.136	500
E0301T105	505	175	505
E0301T106	510	174.105	510
E0301T107	515	173.179	515
E0301T108	520	172.809	520
E0301T109	525	176.698	525
E0301T110	530	172.747	530
E0301T111	535	176.08	535
E0301T112	540	173.58	540
E0301T113	545	170.988	545
E0301T114	550	176.235	550
E0301T115	555	174.568	555
E0301T116	560	173.21	560
E0301T117	565	173.333	565
E0301T118	570	172.809	570
E0301T119	575	175.062	575
E0301T120	580	173.426	580
E0301T121	585	173.21	585
E0301T122	590	174.321	590
E0301T123	595	172.407	595
E0301T124	600	174.722	600
E0301T125	605	173.549	605
