!!SBtab Document='AKAR4' Version='1.0' TableName='AKAR4_100nM' TableType='QuantityMatrix'			
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E100T001	-15	109.6	1
E100T002	-10	109.775	1
E100T003	-5	109.55	1
E100T004	0	113.375	1
E100T005	5	110.15	1
E100T006	10	110.475	1
E100T007	15	110.775	1
E100T008	20	111.125	1
E100T009	25	111.625	1
E100T010	30	111.45	1
E100T011	35	114.05	1
E100T012	40	113.7	1
E100T013	45	114.525	1
E100T014	50	114.775	1
E100T015	55	115.8	1
E100T016	60	116.825	1
E100T017	65	115.775	1
E100T018	70	116.25	1
E100T019	75	117.775	1
E100T020	80	117.4	1
E100T021	85	117.525	1
E100T022	90	118.3	1
E100T023	95	120.075	1
E100T024	100	120.05	1
E100T025	105	120.525	1
E100T026	110	122.4	1
E100T027	115	121.675	1
E100T028	120	120.275	1
E100T029	125	123.05	1
E100T030	130	121.95	1
E100T031	135	122.025	1
E100T032	140	121.775	1
E100T033	145	124.4	1
E100T034	150	125.775	1
E100T035	155	127.025	1
E100T036	160	126.775	1
E100T037	165	125.95	1
E100T038	170	126.225	1
E100T039	175	126.5	1
E100T040	180	128	1
E100T041	185	127.825	1
E100T042	190	128.25	1
E100T043	195	129.725	1
E100T044	200	129.125	1
E100T045	205	129.75	1
E100T046	210	133	1
E100T047	215	132.8	1
E100T048	220	131.975	1
E100T049	225	132.95	1
E100T050	230	134.1	1
E100T051	235	133.975	1
E100T052	240	131.375	1
E100T053	245	133.325	1
E100T054	250	133.4	1
E100T055	255	135.25	1
E100T056	260	137.975	1
E100T057	265	136.6	1
E100T058	270	137.575	1
E100T059	275	137.275	1
E100T060	280	138.05	1
E100T061	285	137.725	1
E100T062	290	136.8	1
E100T063	295	137.95	1
E100T064	300	138.95	1
E100T065	305	139.225	1
E100T066	310	139.125	1
E100T067	315	141.825	1
E100T068	320	141.25	1
E100T069	325	142.675	1
E100T070	330	143.3	1
E100T071	335	142.35	1
E100T072	340	142.95	1
E100T073	345	144.45	1
E100T074	350	144.625	1
E100T075	355	145.1	1
E100T076	360	144.2	1
E100T077	365	144.55	1
E100T078	370	144.225	1
E100T079	375	144.225	1
E100T080	380	146.45	1
E100T081	385	146.675	1
E100T082	390	149.075	1
E100T083	395	147.6	1
E100T084	400	146.85	1
E100T085	405	147.025	1
E100T086	410	149.1	1
E100T087	415	150.825	1
E100T088	420	149.275	1
E100T089	425	151.7	1
E100T090	430	151.425	1
E100T091	435	148.55	1
E100T092	440	150.725	1
E100T093	445	151.75	1
E100T094	450	150.35	1
E100T095	455	152.275	1
E100T096	460	152.775	1
E100T097	465	152.625	1
E100T098	470	151.85	1
E100T099	475	152.525	1
E100T100	480	152.275	1
E100T101	485	154.275	1
E100T102	490	154.4	1
E100T103	495	155.175	1
E100T104	500	155.025	1
E100T105	505	157.325	1
E100T106	510	156.1	1
E100T107	515	154.25	1
E100T108	520	155.075	1
E100T109	525	157.625	1
E100T110	530	156.975	1
E100T111	535	156.35	1
E100T112	540	157.65	1
E100T113	545	160.025	1
E100T114	550	158.275	1
E100T115	555	157.7	1
E100T116	560	159.725	1
E100T117	565	159.025	1
E100T118	570	159.25	1
E100T119	575	159.325	1
E100T120	580	158.575	1
E100T121	585	159.15	1
E100T122	590	161.95	1
E100T123	595	159.8	1
