!!SBtab Document='AKAR4' Version='1.0' TableName='AKAR4_25nM' TableType='QuantityMatrix'		
!TimePoint	!Time	>AKAR4pOUT
E25T001	-15	109.6
E25T002	-10	109.775
E25T003	-5	109.55
E25T004	0	113.375
E25T005	5	110.15
E25T006	10	110.475
E25T007	15	110.775
E25T008	20	111.125
E25T009	25	111.625
E25T010	30	111.45
E25T011	35	114.05
E25T012	40	113.7
E25T013	45	114.525
E25T014	50	114.775
E25T015	55	115.8
E25T016	60	116.825
E25T017	65	115.775
E25T018	70	116.25
E25T019	75	117.775
E25T020	80	117.4
E25T021	85	117.525
E25T022	90	118.3
E25T023	95	120.075
E25T024	100	120.05
E25T025	105	120.525
E25T026	110	122.4
E25T027	115	121.675
E25T028	120	120.275
E25T029	125	123.05
E25T030	130	121.95
E25T031	135	122.025
E25T032	140	121.775
E25T033	145	124.4
E25T034	150	125.775
E25T035	155	127.025
E25T036	160	126.775
E25T037	165	125.95
E25T038	170	126.225
E25T039	175	126.5
E25T040	180	128
E25T041	185	127.825
E25T042	190	128.25
E25T043	195	129.725
E25T044	200	129.125
E25T045	205	129.75
E25T046	210	133
E25T047	215	132.8
E25T048	220	131.975
E25T049	225	132.95
E25T050	230	134.1
E25T051	235	133.975
E25T052	240	131.375
E25T053	245	133.325
E25T054	250	133.4
E25T055	255	135.25
E25T056	260	137.975
E25T057	265	136.6
E25T058	270	137.575
E25T059	275	137.275
E25T060	280	138.05
E25T061	285	137.725
E25T062	290	136.8
E25T063	295	137.95
E25T064	300	138.95
E25T065	305	139.225
E25T066	310	139.125
E25T067	315	141.825
E25T068	320	141.25
E25T069	325	142.675
E25T070	330	143.3
E25T071	335	142.35
E25T072	340	142.95
E25T073	345	144.45
E25T074	350	144.625
E25T075	355	145.1
E25T076	360	144.2
E25T077	365	144.55
E25T078	370	144.225
E25T079	375	144.225
E25T080	380	146.45
E25T081	385	146.675
E25T082	390	149.075
E25T083	395	147.6
E25T084	400	146.85
E25T085	405	147.025
E25T086	410	149.1
E25T087	415	150.825
E25T088	420	149.275
E25T089	425	151.7
E25T090	430	151.425
E25T091	435	148.55
E25T092	440	150.725
E25T093	445	151.75
E25T094	450	150.35
E25T095	455	152.275
E25T096	460	152.775
E25T097	465	152.625
E25T098	470	151.85
E25T099	475	152.525
E25T100	480	152.275
E25T101	485	154.275
E25T102	490	154.4
E25T103	495	155.175
E25T104	500	155.025
E25T105	505	157.325
E25T106	510	156.1
E25T107	515	154.25
E25T108	520	155.075
E25T109	525	157.625
E25T110	530	156.975
E25T111	535	156.35
E25T112	540	157.65
E25T113	545	160.025
E25T114	550	158.275
E25T115	555	157.7
E25T116	560	159.725
E25T117	565	159.025
E25T118	570	159.25
E25T119	575	159.325
E25T120	580	158.575
E25T121	585	159.15
E25T122	590	161.95
E25T123	595	159.8
E25T124	600	159.275
E25T125	605	159.875
E25T126	610	161.125
E25T127	615	161.2
E25T128	620	162.3
E25T129	625	161.25
E25T130	630	162.3
E25T131	635	164.55
E25T132	640	162.625
E25T133	645	163.65
E25T134	650	162.05
E25T135	655	162.075
E25T136	660	163.5
E25T137	665	164.525
E25T138	670	163.65
E25T139	675	164.475
E25T140	680	166.375
E25T141	685	165.1
E25T142	690	161.95
E25T143	695	166.6
E25T144	700	163.8
E25T145	705	165.05
E25T146	710	164.175
E25T147	715	165.975
E25T148	720	166.275
E25T149	725	166.65
E25T150	730	167.325
E25T151	735	167.95
E25T152	740	166.85
E25T153	745	166.4
E25T154	750	166.975
E25T155	755	169.2
E25T156	760	170.35
E25T157	765	169.6
E25T158	770	167.975
E25T159	775	168.6
E25T160	780	167.425
E25T161	785	167.425
E25T162	790	168.275
E25T163	795	168.825
E25T164	800	169.3
E25T165	805	170.775
E25T166	810	169.475
E25T167	815	170.15
E25T168	820	171.675
E25T169	825	170.45
E25T170	830	170.85
E25T171	835	170.7
E25T172	840	169.9
E25T173	845	170.725
E25T174	850	169.95
E25T175	855	173.6
E25T176	860	172.7
E25T177	865	170.875
E25T178	870	171.8
E25T179	875	173.125
E25T180	880	170.175
E25T181	885	172.575
E25T182	890	169.025
E25T183	895	173
E25T184	900	171.175
E25T185	905	174.65
E25T186	910	173.225
E25T187	915	172.825
E25T188	920	172.65
E25T189	925	172.9
E25T190	930	174.1
E25T191	935	172.375
E25T192	940	175.075
E25T193	945	173.825
E25T194	950	173.25
E25T195	955	174.45
E25T196	960	173.35
E25T197	965	175.575
E25T198	970	173.775
E25T199	975	175.15
E25T200	980	174.975
E25T201	985	176.25
E25T202	990	174.85
E25T203	995	175.55
E25T204	1000	175.075
E25T205	1005	174.9
E25T206	1010	171.95
E25T207	1015	176.875
E25T208	1020	176.1
E25T209	1025	174.45
E25T210	1030	172
E25T211	1035	174.425
E25T212	1040	174.9
E25T213	1045	176.925
E25T214	1050	176.125
E25T215	1055	178.6
E25T216	1060	175.75
E25T217	1065	174.5
E25T218	1070	177.325
E25T219	1075	175.7
E25T220	1080	177.025
E25T221	1085	178.175
E25T222	1090	174.2
E25T223	1095	178.075
E25T224	1100	178.6
E25T225	1105	176.65
