!!SBtab Document='AKAR4' Version='1.0' TableName='AKAR4_400nM' TableType='QuantityMatrix' DataSource='Figure 3—figure supplement 1 in https://doi.org/10.7554/eLife.68164 (dark blue)'		
!TimePoint	!Time	>AKAR4pOUT
E400T001	-15	108.6
E400T002	-10	111.35
E400T003	-5	108.75
E400T004	0	111.4
E400T005	5	111.7
E400T006	10	113.25
E400T007	15	117
E400T008	20	120.7
E400T009	25	121.475
E400T010	30	125.275
E400T011	35	126.925
E400T012	40	129.65
E400T013	45	132.825
E400T014	50	136.65
E400T015	55	137.675
E400T016	60	139.175
E400T017	65	143.875
E400T018	70	143.65
E400T019	75	147.725
E400T020	80	147.625
E400T021	85	149.35
E400T022	90	152.325
E400T023	95	153.5
E400T024	100	155.1
E400T025	105	157.85
E400T026	110	158.6
E400T027	115	159.025
E400T028	120	162.325
E400T029	125	163.85
E400T030	130	164.325
E400T031	135	162.6
E400T032	140	165.8
E400T033	145	167.875
E400T034	150	171.25
E400T035	155	169.325
E400T036	160	169.225
E400T037	165	170.975
E400T038	170	171.65
E400T039	175	173.025
E400T040	180	173
E400T041	185	172.525
E400T042	190	173.525
E400T043	195	173.9
E400T044	200	176.625
E400T045	205	175.775
E400T046	210	179.05
E400T047	215	176.25
E400T048	220	177.4
E400T049	225	175.65
E400T050	230	178.125
E400T051	235	180.825
E400T052	240	177.45
E400T053	245	179.25
E400T054	250	177.6
E400T055	255	180.825
E400T056	260	177.425
E400T057	265	180.925
E400T058	270	181.075
E400T059	275	179.825
E400T060	280	180.95
E400T061	285	180.95
E400T062	290	183.55
E400T063	295	179.6
E400T064	300	181.075
E400T065	305	181.825
E400T066	310	181.05
E400T067	315	183.925
E400T068	320	182.25
E400T069	325	183.95
E400T070	330	183.575
E400T071	335	183.9
E400T072	340	180.875
E400T073	345	182
E400T074	350	182.4
E400T075	355	182.875
E400T076	360	180.325
E400T077	365	181.45
E400T078	370	182.125
E400T079	375	184.775
E400T080	380	182.125
E400T081	385	184.775
E400T082	390	181.825
E400T083	395	184.5
E400T084	400	183.1
E400T085	405	184
E400T086	410	186.725
E400T087	415	180.325
E400T088	420	183.875
E400T089	425	183.175
E400T090	430	183.875
E400T091	435	184.3
E400T092	440	184.35
E400T093	445	182.225
E400T094	450	184.1
E400T095	455	185.275
E400T096	460	182.15
E400T097	465	185.25
E400T098	470	182.725
E400T099	475	181.15
E400T100	480	182.225
E400T101	485	183.275
E400T102	490	182.825
E400T103	495	184.275
E400T104	500	185.375
E400T105	505	185.1
E400T106	510	184.025
E400T107	515	185.575
E400T108	520	184.75
E400T109	525	183.775
E400T110	530	181.8
E400T111	535	184.375
E400T112	540	181.4
E400T113	545	186.725
E400T114	550	184.875
E400T115	555	184.625
E400T116	560	183.775
E400T117	565	183.2
E400T118	570	187.3
E400T119	575	183.575
E400T120	580	186.85
E400T121	585	186.2
E400T122	590	184.975
E400T123	595	184.55
E400T124	600	184.45
E400T125	605	185.1
E400T126	610	184.575
E400T127	615	182.55
E400T128	620	184.425
E400T129	625	183.325
E400T130	630	182.675
E400T131	635	184.825
E400T132	640	182.325
E400T133	645	181.85
E400T134	650	184.225
E400T135	655	183.975
E400T136	660	187.2
E400T137	665	183.225
E400T138	670	181.55
E400T139	675	182.925
E400T140	680	185.425
E400T141	685	185.625
E400T142	690	185.975
E400T143	695	182.675
E400T144	700	183.375
E400T145	705	185.05
E400T146	710	183.275
E400T147	715	182.15
E400T148	720	179.775
E400T149	725	184.275
E400T150	730	184.125
E400T151	735	183.55
E400T152	740	184.375
E400T153	745	183.25
E400T154	750	186.5
E400T155	755	181.35
E400T156	760	182.2
E400T157	765	182.65
E400T158	770	182.225
E400T159	775	183.35
E400T160	780	183.95
E400T161	785	183.675
E400T162	790	181.05
E400T163	795	186.275
E400T164	800	183.125
E400T165	805	184.425
E400T166	810	184.075
E400T167	815	184.675
E400T168	820	183.4
E400T169	825	183.5
E400T170	830	184.55
E400T171	835	183.75
E400T172	840	183.375
E400T173	845	183.05
E400T174	850	184.225
E400T175	855	183.075
E400T176	860	186.9
E400T177	865	182.15
E400T178	870	184.575
E400T179	875	186.05
E400T180	880	184.325
E400T181	885	184.375
E400T182	890	181.525
E400T183	895	187.225
E400T184	900	184.15
E400T185	905	187
E400T186	910	186.3
E400T187	915	182.625
E400T188	920	185.4
E400T189	925	181.3
E400T190	930	184.775
E400T191	935	187.225
E400T192	940	184.85
E400T193	945	183.85
E400T194	950	186.425
E400T195	955	181.575
E400T196	960	183.225
E400T197	965	181.3
E400T198	970	183.425
E400T199	975	182.3
E400T200	980	183
E400T201	985	182.425
E400T202	990	185.725
E400T203	995	182.075
E400T204	1000	184.55
E400T205	1005	183.45
E400T206	1010	183.6
E400T207	1015	184.125
E400T208	1020	182.3
E400T209	1025	184.025
E400T210	1030	182.05
E400T211	1035	184.075
E400T212	1040	186
E400T213	1045	182.9
E400T214	1050	184.125
E400T215	1055	182.95
E400T216	1060	182.825
E400T217	1065	183.375
E400T218	1070	182.75
E400T219	1075	183.9
E400T220	1080	184.125
E400T221	1085	186.25
E400T222	1090	185.35
E400T223	1095	186.25
E400T224	1100	185.675
E400T225	1105	187.25
