id	time	AKAR4pOUT
E0103T001	-15	9.994(45)E1
E0103T002	-10	9.997(88)E1
E0103T003	-5	9.960(31)E1
E0103T004	0	NA
E0103T005	5	9.80(14)E1
E0103T006	10	9.81(19)E1
E0103T007	15	9.701(98)E1
E0103T008	20	9.79(15)E1
E0103T009	25	9.86(11)E1
E0103T010	30	9.95(14)E1
E0103T011	35	9.87(15)E1
E0103T012	40	9.91(14)E1
E0103T013	45	9.93(13)E1
E0103T014	50	9.87(13)E1
E0103T015	55	9.815(68)E1
E0103T016	60	9.8(1)E1
E0103T017	65	9.94(11)E1
E0103T018	70	9.73(11)E1
E0103T019	75	9.769(43)E1
E0103T020	80	9.95(9)E1
E0103T021	85	9.90(14)E1
E0103T022	90	9.7(1)E1
E0103T023	95	9.833(88)E1
E0103T024	100	9.812(29)E1
E0103T025	105	9.883(77)E1
E0103T026	110	1.006(11)E2
E0103T027	115	9.960(78)E1
E0103T028	120	9.91(12)E1
E0103T029	125	1.006(14)E2
E0103T030	130	9.81(15)E1
E0103T031	135	9.99(14)E1
E0103T032	140	9.9(1)E1
E0103T033	145	9.87(15)E1
E0103T034	150	9.80(16)E1
E0103T035	155	9.812(85)E1
E0103T036	160	9.9(1)E1
E0103T037	165	9.948(88)E1
E0103T038	170	9.85(12)E1
E0103T039	175	9.88(14)E1
E0103T040	180	9.90(13)E1
E0103T041	185	9.85(22)E1
E0103T042	190	9.963(71)E1
E0103T043	195	9.948(94)E1
E0103T044	200	9.858(65)E1
E0103T045	205	9.966(69)E1
E0103T046	210	9.88(8)E1
E0103T047	215	9.969(59)E1
E0103T048	220	9.972(14)E1
E0103T049	225	9.809(87)E1
E0103T050	230	9.90(13)E1
E0103T051	235	9.89(14)E1
E0103T052	240	9.96(12)E1
E0103T053	245	9.79(15)E1
E0103T054	250	9.7(2)E1
E0103T055	255	9.849(48)E1
E0103T056	260	9.95(24)E1
E0103T057	265	9.935(86)E1
E0103T058	270	9.82(16)E1
E0103T059	275	9.94(4)E1
E0103T060	280	9.84(13)E1
E0103T061	285	9.97(14)E1
E0103T062	290	9.966(45)E1
E0103T063	295	9.79(14)E1
E0103T064	300	9.93(12)E1
E0103T065	305	9.843(14)E1
E0103T066	310	9.97(17)E1
E0103T067	315	9.84(13)E1
E0103T068	320	9.8(1)E1
E0103T069	325	9.88(12)E1
E0103T070	330	9.827(47)E1
E0103T071	335	9.83(12)E1
E0103T072	340	9.78(16)E1
E0103T073	345	9.988(86)E1
E0103T074	350	10.0(1)E1
E0103T075	355	9.972(51)E1
E0103T076	360	9.923(57)E1
E0103T077	365	9.96(11)E1
E0103T078	370	9.9(1)E1
E0103T079	375	9.88(15)E1
E0103T080	380	9.9(1)E1
E0103T081	385	9.806(28)E1
E0103T082	390	1.0000(61)E2
E0103T083	395	9.92(15)E1
E0103T084	400	9.91(14)E1
E0103T085	405	1.009(14)E2
E0103T086	410	1.0019(77)E2
E0103T087	415	9.985(99)E1
E0103T088	420	1.0000(92)E2
E0103T089	425	9.86(15)E1
E0103T090	430	9.877(48)E1
E0103T091	435	9.99(14)E1
E0103T092	440	9.892(44)E1
E0103T093	445	9.92(13)E1
E0103T094	450	1.006(14)E2
E0103T095	455	1.0086(98)E2
E0103T096	460	9.96(12)E1
E0103T097	465	9.95(11)E1
E0103T098	470	9.932(99)E1
E0103T099	475	9.99(12)E1
E0103T100	480	1.0049(22)E2
E0103T101	485	9.9(1)E1
E0103T102	490	10.0(1)E1
E0103T103	495	1.00(1)E2
E0103T104	500	9.98(12)E1
E0103T105	505	1.0114(32)E2
E0103T106	510	1.007(12)E2
E0103T107	515	9.972(45)E1
E0103T108	520	1.0025(92)E2
E0103T109	525	1.010(15)E2
E0103T110	530	9.98(2)E1
E0103T111	535	1.0114(79)E2
E0103T112	540	1.004(16)E2
E0103T113	545	9.96(4)E1
E0103T114	550	1.0034(82)E2
E0103T115	555	9.95(18)E1
E0103T116	560	1.0022(68)E2
E0103T117	565	9.89(24)E1
E0103T118	570	9.963(69)E1
E0103T119	575	1.010(11)E2
E0103T120	580	9.94(12)E1
E0103T121	585	9.938(92)E1
E0103T122	590	1.0090(94)E2
E0103T123	595	9.94(14)E1
E0103T124	600	1.008(14)E2
E0103T125	605	1.0028(73)E2
