time point	time	AKAR4pOUT
E0102T001	-15	1.0204(88)E2
E0102T002	-10	9.991(65)E1
E0102T003	-5	9.935(83)E1
E0102T004	0	NA
E0102T005	5	9.86(14)E1
E0102T006	10	9.93(12)E1
E0102T007	15	9.87(19)E1
E0102T008	20	9.75(12)E1
E0102T009	25	9.898(84)E1
E0102T010	30	9.9(1)E1
E0102T011	35	9.704(88)E1
E0102T012	40	9.95(14)E1
E0102T013	45	9.83(13)E1
E0102T014	50	1.006(14)E2
E0102T015	55	9.858(72)E1
E0102T016	60	9.96(17)E1
E0102T017	65	9.82(17)E1
E0102T018	70	9.877(45)E1
E0102T019	75	9.87(15)E1
E0102T020	80	9.85(13)E1
E0102T021	85	9.84(16)E1
E0102T022	90	9.91(14)E1
E0102T023	95	9.920(64)E1
E0102T024	100	9.849(32)E1
E0102T025	105	9.87(11)E1
E0102T026	110	9.84(12)E1
E0102T027	115	9.892(68)E1
E0102T028	120	9.92(14)E1
E0102T029	125	9.944(88)E1
E0102T030	130	9.88(8)E1
E0102T031	135	9.910(93)E1
E0102T032	140	9.76(15)E1
E0102T033	145	9.951(85)E1
E0102T034	150	1.001(15)E2
E0102T035	155	9.98(12)E1
E0102T036	160	9.883(52)E1
E0102T037	165	9.83(12)E1
E0102T038	170	9.92(13)E1
E0102T039	175	9.95(12)E1
E0102T040	180	1.0040(41)E2
E0102T041	185	1.003(17)E2
E0102T042	190	9.95(14)E1
E0102T043	195	9.966(42)E1
E0102T044	200	9.790(85)E1
E0102T045	205	9.89(16)E1
E0102T046	210	9.90(16)E1
E0102T047	215	1.003(12)E2
E0102T048	220	1.003(6)E2
E0102T049	225	1.0111(24)E2
E0102T050	230	9.929(68)E1
E0102T051	235	1.01(1)E2
E0102T052	240	9.880(75)E1
E0102T053	245	9.91(14)E1
E0102T054	250	9.981(75)E1
E0102T055	255	9.94(12)E1
E0102T056	260	1.001(16)E2
E0102T057	265	1.012(18)E2
E0102T058	270	9.85(25)E1
E0102T059	275	9.99(12)E1
E0102T060	280	1.00(1)E2
E0102T061	285	9.944(72)E1
E0102T062	290	1.0056(92)E2
E0102T063	295	1.010(3)E2
E0102T064	300	1.00(1)E2
E0102T065	305	1.0049(64)E2
E0102T066	310	1.003(12)E2
E0102T067	315	1.002(14)E2
E0102T068	320	1.004(21)E2
E0102T069	325	1.001(12)E2
E0102T070	330	1.005(16)E2
E0102T071	335	1.0102(84)E2
E0102T072	340	1.004(12)E2
E0102T073	345	9.96(12)E1
E0102T074	350	1.010(12)E2
E0102T075	355	1.0052(39)E2
E0102T076	360	1.0074(99)E2
E0102T077	365	1.0164(64)E2
E0102T078	370	1.0210(76)E2
E0102T079	375	1.00(1)E2
E0102T080	380	1.007(16)E2
E0102T081	385	9.96(9)E1
E0102T082	390	1.011(12)E2
E0102T083	395	1.008(12)E2
E0102T084	400	1.013(11)E2
E0102T085	405	1.024(18)E2
E0102T086	410	1.0232(92)E2
E0102T087	415	1.0117(66)E2
E0102T088	420	1.0043(81)E2
E0102T089	425	1.010(14)E2
E0102T090	430	1.03(1)E2
E0102T091	435	1.013(14)E2
E0102T092	440	1.0052(53)E2
E0102T093	445	1.0312(51)E2
E0102T094	450	1.028(13)E2
E0102T095	455	1.026(14)E2
E0102T096	460	1.017(12)E2
E0102T097	465	1.019(26)E2
E0102T098	470	1.025(14)E2
E0102T099	475	1.022(14)E2
E0102T100	480	1.023(16)E2
E0102T101	485	1.020(13)E2
E0102T102	490	1.04(1)E2
E0102T103	495	1.0244(88)E2
E0102T104	500	1.031(14)E2
E0102T105	505	1.020(17)E2
E0102T106	510	1.023(14)E2
E0102T107	515	1.037(16)E2
E0102T108	520	1.0395(81)E2
E0102T109	525	1.0386(81)E2
E0102T110	530	1.038(17)E2
E0102T111	535	1.0370(99)E2
E0102T112	540	1.032(11)E2
E0102T113	545	1.046(15)E2
E0102T114	550	1.033(13)E2
E0102T115	555	1.038(4)E2
E0102T116	560	1.026(13)E2
E0102T117	565	1.034(12)E2
E0102T118	570	1.026(13)E2
E0102T119	575	1.034(21)E2
E0102T120	580	1.040(15)E2
E0102T121	585	1.024(13)E2
E0102T122	590	1.04(1)E2
E0102T123	595	1.0543(71)E2
E0102T124	600	1.046(11)E2
E0102T125	605	1.0398(69)E2
