time point	time	AKAR4pOUT
E0101T001	-15	1.0049(63)E2
E0101T002	-10	1.0167(99)E2
E0101T003	-5	1.00802(81)E2
E0101T004	0	NA
E0101T005	5	9.9(1)E1
E0101T006	10	9.93(13)E1
E0101T007	15	9.944(54)E1
E0101T008	20	9.99(13)E1
E0101T009	25	9.83(12)E1
E0101T010	30	9.90(17)E1
E0101T011	35	9.9(1)E1
E0101T012	40	9.84(15)E1
E0101T013	45	9.981(98)E1
E0101T014	50	9.90(11)E1
E0101T015	55	1.004(2)E2
E0101T016	60	9.95(15)E1
E0101T017	65	9.94(14)E1
E0101T018	70	9.87(12)E1
E0101T019	75	9.83(12)E1
E0101T020	80	9.923(96)E1
E0101T021	85	9.880(84)E1
E0101T022	90	9.858(69)E1
E0101T023	95	9.85(11)E1
E0101T024	100	9.861(83)E1
E0101T025	105	1.0049(62)E2
E0101T026	110	9.941(57)E1
E0101T027	115	9.886(72)E1
E0101T028	120	9.8982(53)E1
E0101T029	125	9.920(57)E1
E0101T030	130	9.90(11)E1
E0101T031	135	9.870(79)E1
E0101T032	140	9.96(11)E1
E0101T033	145	1.0015(65)E2
E0101T034	150	9.944(68)E1
E0101T035	155	9.954(66)E1
E0101T036	160	9.79(14)E1
E0101T037	165	9.91(13)E1
E0101T038	170	9.938(71)E1
E0101T039	175	1.002(13)E2
E0101T040	180	1.0071(99)E2
E0101T041	185	9.94(11)E1
E0101T042	190	1.0182(74)E2
E0101T043	195	1.000(11)E2
E0101T044	200	9.954(79)E1
E0101T045	205	1.0000(69)E2
E0101T046	210	9.78(22)E1
E0101T047	215	1.0068(32)E2
E0101T048	220	9.97(13)E1
E0101T049	225	1.0052(86)E2
E0101T050	230	9.97(7)E1
E0101T051	235	9.978(41)E1
E0101T052	240	1.0099(29)E2
E0101T053	245	9.997(75)E1
E0101T054	250	1.0031(16)E2
E0101T055	255	1.0117(32)E2
E0101T056	260	1.0034(47)E2
E0101T057	265	1.0102(88)E2
E0101T058	270	9.92(16)E1
E0101T059	275	1.006(13)E2
E0101T060	280	10.0(1)E1
E0101T061	285	9.954(55)E1
E0101T062	290	9.98(16)E1
E0101T063	295	1.0179(49)E2
E0101T064	300	1.0117(69)E2
E0101T065	305	1.009(7)E2
E0101T066	310	1.0031(91)E2
E0101T067	315	1.019(16)E2
E0101T068	320	1.0142(77)E2
E0101T069	325	1.0157(64)E2
E0101T070	330	1.012(13)E2
E0101T071	335	1.00(1)E2
E0101T072	340	1.011(14)E2
E0101T073	345	1.0105(89)E2
E0101T074	350	1.018(13)E2
E0101T075	355	1.015(14)E2
E0101T076	360	1.0167(74)E2
E0101T077	365	1.0191(95)E2
E0101T078	370	1.031(21)E2
E0101T079	375	1.0265(81)E2
E0101T080	380	1.018(15)E2
E0101T081	385	1.013(24)E2
E0101T082	390	1.028(16)E2
E0101T083	395	1.0287(14)E2
E0101T084	400	1.0179(71)E2
E0101T085	405	1.034(23)E2
E0101T086	410	1.039(21)E2
E0101T087	415	1.048(23)E2
E0101T088	420	1.026(24)E2
E0101T089	425	1.023(22)E2
E0101T090	430	1.027(19)E2
E0101T091	435	1.036(21)E2
E0101T092	440	1.038(17)E2
E0101T093	445	1.024(21)E2
E0101T094	450	1.04(3)E2
E0101T095	455	1.04(2)E2
E0101T096	460	1.033(18)E2
E0101T097	465	1.048(14)E2
E0101T098	470	1.040(28)E2
E0101T099	475	1.046(31)E2
E0101T100	480	1.04(2)E2
E0101T101	485	1.045(29)E2
E0101T102	490	1.04(3)E2
E0101T103	495	1.050(31)E2
E0101T104	500	1.044(29)E2
E0101T105	505	1.048(27)E2
E0101T106	510	1.06(3)E2
E0101T107	515	1.044(24)E2
E0101T108	520	1.055(23)E2
E0101T109	525	1.051(22)E2
E0101T110	530	1.065(31)E2
E0101T111	535	1.055(22)E2
E0101T112	540	1.07(3)E2
E0101T113	545	1.066(28)E2
E0101T114	550	1.06(3)E2
E0101T115	555	1.071(33)E2
E0101T116	560	1.059(22)E2
E0101T117	565	1.069(35)E2
E0101T118	570	1.057(28)E2
E0101T119	575	1.051(33)E2
E0101T120	580	1.040(42)E2
E0101T121	585	1.058(26)E2
E0101T122	590	1.076(36)E2
E0101T123	595	1.077(35)E2
E0101T124	600	1.048(42)E2
E0101T125	605	1.084(35)E2
