time point	time	AKAR4pOUT
E0202T001	-15	1.00(1)E2
E0202T002	-10	1.0145(88)E2
E0202T003	-5	1.00370(92)E2
E0202T004	0	NA
E0202T005	5	9.89(11)E1
E0202T006	10	9.802(57)E1
E0202T007	15	9.83(18)E1
E0202T008	20	1.0074(32)E2
E0202T009	25	9.988(82)E1
E0202T010	30	9.9(1)E1
E0202T011	35	9.94(13)E1
E0202T012	40	9.92(18)E1
E0202T013	45	9.920(89)E1
E0202T014	50	9.89(13)E1
E0202T015	55	9.75(17)E1
E0202T016	60	9.90(11)E1
E0202T017	65	1.0000(68)E2
E0202T018	70	9.951(76)E1
E0202T019	75	9.87(15)E1
E0202T020	80	9.90(11)E1
E0202T021	85	1.002(17)E2
E0202T022	90	9.923(26)E1
E0202T023	95	9.932(54)E1
E0202T024	100	9.92(4)E1
E0202T025	105	9.91(12)E1
E0202T026	110	1.001(13)E2
E0202T027	115	9.929(53)E1
E0202T028	120	1.02(1)E2
E0202T029	125	1.0031(74)E2
E0202T030	130	1.001(11)E2
E0202T031	135	1.0059(29)E2
E0202T032	140	9.923(53)E1
E0202T033	145	1.01(1)E2
E0202T034	150	1.0090(35)E2
E0202T035	155	1.0096(85)E2
E0202T036	160	1.006(12)E2
E0202T037	165	1.015(15)E2
E0202T038	170	1.0003(26)E2
E0202T039	175	1.0188(66)E2
E0202T040	180	1.0108(32)E2
E0202T041	185	1.0117(48)E2
E0202T042	190	1.019(13)E2
E0202T043	195	9.994(85)E1
E0202T044	200	1.026(8)E2
E0202T045	205	1.010(11)E2
E0202T046	210	1.018(13)E2
E0202T047	215	1.0108(92)E2
E0202T048	220	1.04(1)E2
E0202T049	225	1.03(1)E2
E0202T050	230	1.020(21)E2
E0202T051	235	1.0099(97)E2
E0202T052	240	1.022(11)E2
E0202T053	245	1.0093(63)E2
E0202T054	250	1.0188(85)E2
E0202T055	255	1.026(13)E2
E0202T056	260	1.0232(98)E2
E0202T057	265	1.029(11)E2
E0202T058	270	1.009(13)E2
E0202T059	275	1.0090(62)E2
E0202T060	280	1.0148(63)E2
E0202T061	285	1.010(11)E2
E0202T062	290	1.032(25)E2
E0202T063	295	1.025(17)E2
E0202T064	300	1.024(11)E2
E0202T065	305	1.014(19)E2
E0202T066	310	1.014(16)E2
E0202T067	315	1.027(23)E2
E0202T068	320	1.0321(92)E2
E0202T069	325	1.0336(91)E2
E0202T070	330	1.024(21)E2
E0202T071	335	1.03(2)E2
E0202T072	340	1.045(26)E2
E0202T073	345	1.038(15)E2
E0202T074	350	1.024(12)E2
E0202T075	355	1.0454(88)E2
E0202T076	360	1.042(14)E2
E0202T077	365	1.046(24)E2
E0202T078	370	1.040(24)E2
E0202T079	375	1.047(13)E2
E0202T080	380	1.046(25)E2
E0202T081	385	1.040(22)E2
E0202T082	390	1.050(17)E2
E0202T083	395	1.031(24)E2
E0202T084	400	1.05(2)E2
E0202T085	405	1.065(35)E2
E0202T086	410	1.059(18)E2
E0202T087	415	1.052(25)E2
E0202T088	420	1.051(29)E2
E0202T089	425	1.061(31)E2
E0202T090	430	1.058(33)E2
E0202T091	435	1.060(33)E2
E0202T092	440	1.06(3)E2
E0202T093	445	1.052(32)E2
E0202T094	450	1.075(37)E2
E0202T095	455	1.072(37)E2
E0202T096	460	1.047(23)E2
E0202T097	465	1.07(3)E2
E0202T098	470	1.07(3)E2
E0202T099	475	1.066(17)E2
E0202T100	480	1.060(28)E2
E0202T101	485	1.07(3)E2
E0202T102	490	1.07(2)E2
E0202T103	495	1.076(36)E2
E0202T104	500	1.077(41)E2
E0202T105	505	1.067(27)E2
E0202T106	510	1.074(31)E2
E0202T107	515	1.081(27)E2
E0202T108	520	1.075(23)E2
E0202T109	525	1.067(42)E2
E0202T110	530	1.097(33)E2
E0202T111	535	1.084(26)E2
E0202T112	540	1.067(34)E2
E0202T113	545	1.083(38)E2
E0202T114	550	1.082(32)E2
E0202T115	555	1.09(2)E2
E0202T116	560	1.105(22)E2
E0202T117	565	1.086(38)E2
E0202T118	570	1.082(42)E2
E0202T119	575	1.086(38)E2
E0202T120	580	1.087(39)E2
E0202T121	585	1.083(43)E2
E0202T122	590	1.097(35)E2
E0202T123	595	1.115(44)E2
E0202T124	600	1.099(28)E2
E0202T125	605	1.096(33)E2
