time point	time	AKAR4pOUT
E0401T001	-15	1.0053(52)E2
E0401T002	-10	1.0019(51)E2
E0401T003	-5	1.0058(87)E2
E0401T004	0	NA
E0401T005	5	1.0026(58)E2
E0401T006	10	1.0176(76)E2
E0401T007	15	1.0076(71)E2
E0401T008	20	1.0093(18)E2
E0401T009	25	9.984(97)E1
E0401T010	30	1.0042(58)E2
E0401T011	35	9.96(12)E1
E0401T012	40	1.009(17)E2
E0401T013	45	1.011(14)E2
E0401T014	50	1.01(1)E2
E0401T015	55	1.01(2)E2
E0401T016	60	1.02(2)E2
E0401T017	65	1.032(22)E2
E0401T018	70	1.030(21)E2
E0401T019	75	1.03(3)E2
E0401T020	80	1.040(25)E2
E0401T021	85	1.043(34)E2
E0401T022	90	1.041(29)E2
E0401T023	95	1.043(36)E2
E0401T024	100	1.04(3)E2
E0401T025	105	1.055(33)E2
E0401T026	110	1.058(28)E2
E0401T027	115	1.068(36)E2
E0401T028	120	1.064(44)E2
E0401T029	125	1.076(45)E2
E0401T030	130	1.096(33)E2
E0401T031	135	1.093(45)E2
E0401T032	140	1.097(41)E2
E0401T033	145	1.097(42)E2
E0401T034	150	1.110(47)E2
E0401T035	155	1.110(52)E2
E0401T036	160	1.11(5)E2
E0401T037	165	1.114(59)E2
E0401T038	170	1.124(52)E2
E0401T039	175	1.119(57)E2
E0401T040	180	1.12(6)E2
E0401T041	185	1.125(55)E2
E0401T042	190	1.134(59)E2
E0401T043	195	1.150(58)E2
E0401T044	200	1.151(69)E2
E0401T045	205	1.153(72)E2
E0401T046	210	1.151(69)E2
E0401T047	215	1.168(75)E2
E0401T048	220	1.153(72)E2
E0401T049	225	1.178(77)E2
E0401T050	230	1.198(78)E2
E0401T051	235	1.17(7)E2
E0401T052	240	1.19(8)E2
E0401T053	245	1.189(84)E2
E0401T054	250	1.213(81)E2
E0401T055	255	1.199(83)E2
E0401T056	260	1.204(84)E2
E0401T057	265	1.216(79)E2
E0401T058	270	1.217(79)E2
E0401T059	275	1.23(9)E2
E0401T060	280	1.228(76)E2
E0401T061	285	1.23(9)E2
E0401T062	290	1.236(95)E2
E0401T063	295	1.233(85)E2
E0401T064	300	1.23(8)E2
E0401T065	305	1.240(83)E2
E0401T066	310	1.259(95)E2
E0401T067	315	1.273(93)E2
E0401T068	320	1.263(86)E2
E0401T069	325	1.3(1)E2
E0401T070	330	1.275(95)E2
E0401T071	335	1.3(1)E2
E0401T072	340	1.281(96)E2
E0401T073	345	1.3(1)E2
E0401T074	350	1.284(99)E2
E0401T075	355	1.3(1)E2
E0401T076	360	1.3(1)E2
E0401T077	365	1.3(1)E2
E0401T078	370	1.3(1)E2
E0401T079	375	1.3(1)E2
E0401T080	380	1.3(1)E2
E0401T081	385	1.31(11)E2
E0401T082	390	1.3(1)E2
E0401T083	395	1.31(11)E2
E0401T084	400	1.33(11)E2
E0401T085	405	1.32(11)E2
E0401T086	410	1.3(1)E2
E0401T087	415	1.3(1)E2
E0401T088	420	1.31(11)E2
E0401T089	425	1.3(1)E2
E0401T090	430	1.34(11)E2
E0401T091	435	1.34(11)E2
E0401T092	440	1.34(11)E2
E0401T093	445	1.36(12)E2
E0401T094	450	1.36(11)E2
E0401T095	455	1.35(12)E2
E0401T096	460	1.36(11)E2
E0401T097	465	1.35(11)E2
E0401T098	470	1.36(12)E2
E0401T099	475	1.37(12)E2
E0401T100	480	1.36(11)E2
E0401T101	485	1.35(11)E2
E0401T102	490	1.37(12)E2
E0401T103	495	1.41(12)E2
E0401T104	500	1.38(12)E2
E0401T105	505	1.39(13)E2
E0401T106	510	1.39(12)E2
E0401T107	515	1.38(12)E2
E0401T108	520	1.36(11)E2
E0401T109	525	1.41(13)E2
E0401T110	530	1.41(12)E2
E0401T111	535	1.38(11)E2
E0401T112	540	1.39(12)E2
E0401T113	545	1.40(13)E2
E0401T114	550	1.41(12)E2
E0401T115	555	1.41(12)E2
E0401T116	560	1.41(12)E2
E0401T117	565	1.41(12)E2
E0401T118	570	1.42(12)E2
E0401T119	575	1.41(13)E2
E0401T120	580	1.42(12)E2
E0401T121	585	1.42(12)E2
E0401T122	590	1.43(13)E2
E0401T123	595	1.43(12)E2
E0401T124	600	1.43(13)E2
E0401T125	605	1.42(12)E2
