time point	time	AKAR4pOUT
E0503T001	-15	9.998(34)E1
E0503T002	-10	9.972(54)E1
E0503T003	-5	9.97(13)E1
E0503T004	0	NA
E0503T005	5	10.0(1)E1
E0503T006	10	1.0063(34)E2
E0503T007	15	1.000(6)E2
E0503T008	20	9.97(12)E1
E0503T009	25	1.0046(91)E2
E0503T010	30	1.0093(93)E2
E0503T011	35	1.023(17)E2
E0503T012	40	1.014(12)E2
E0503T013	45	1.022(11)E2
E0503T014	50	1.01(1)E2
E0503T015	55	1.021(17)E2
E0503T016	60	1.034(17)E2
E0503T017	65	1.044(24)E2
E0503T018	70	1.038(25)E2
E0503T019	75	1.04(2)E2
E0503T020	80	1.047(19)E2
E0503T021	85	1.056(26)E2
E0503T022	90	1.038(24)E2
E0503T023	95	1.064(26)E2
E0503T024	100	1.05(2)E2
E0503T025	105	1.056(31)E2
E0503T026	110	1.061(26)E2
E0503T027	115	1.081(29)E2
E0503T028	120	1.077(35)E2
E0503T029	125	1.08(4)E2
E0503T030	130	1.079(37)E2
E0503T031	135	1.095(38)E2
E0503T032	140	1.085(36)E2
E0503T033	145	1.088(38)E2
E0503T034	150	1.102(36)E2
E0503T035	155	1.092(43)E2
E0503T036	160	1.104(43)E2
E0503T037	165	1.104(44)E2
E0503T038	170	1.117(46)E2
E0503T039	175	1.119(41)E2
E0503T040	180	1.116(53)E2
E0503T041	185	1.123(52)E2
E0503T042	190	1.128(52)E2
E0503T043	195	1.128(56)E2
E0503T044	200	1.137(61)E2
E0503T045	205	1.141(54)E2
E0503T046	210	1.14(6)E2
E0503T047	215	1.133(54)E2
E0503T048	220	1.155(59)E2
E0503T049	225	1.156(54)E2
E0503T050	230	1.166(62)E2
E0503T051	235	1.162(66)E2
E0503T052	240	1.162(62)E2
E0503T053	245	1.171(67)E2
E0503T054	250	1.169(69)E2
E0503T055	255	1.165(72)E2
E0503T056	260	1.182(69)E2
E0503T057	265	1.178(78)E2
E0503T058	270	1.178(67)E2
E0503T059	275	1.180(77)E2
E0503T060	280	1.193(76)E2
E0503T061	285	1.168(67)E2
E0503T062	290	1.184(67)E2
E0503T063	295	1.189(76)E2
E0503T064	300	1.178(82)E2
E0503T065	305	1.203(73)E2
E0503T066	310	1.205(83)E2
E0503T067	315	1.202(83)E2
E0503T068	320	1.211(83)E2
E0503T069	325	1.22(8)E2
E0503T070	330	1.216(87)E2
E0503T071	335	1.22(9)E2
E0503T072	340	1.206(84)E2
E0503T073	345	1.238(89)E2
E0503T074	350	1.227(85)E2
E0503T075	355	1.216(81)E2
E0503T076	360	1.225(88)E2
E0503T077	365	1.230(93)E2
E0503T078	370	1.228(92)E2
E0503T079	375	1.238(79)E2
E0503T080	380	1.244(82)E2
E0503T081	385	1.215(83)E2
E0503T082	390	1.254(96)E2
E0503T083	395	1.254(89)E2
E0503T084	400	1.235(89)E2
E0503T085	405	1.2(1)E2
E0503T086	410	1.247(98)E2
E0503T087	415	1.267(93)E2
E0503T088	420	1.3(1)E2
E0503T089	425	1.3(1)E2
E0503T090	430	1.268(98)E2
E0503T091	435	1.264(97)E2
E0503T092	440	1.3(1)E2
E0503T093	445	1.263(98)E2
E0503T094	450	1.267(97)E2
E0503T095	455	1.3(1)E2
E0503T096	460	1.285(96)E2
E0503T097	465	1.3(1)E2
E0503T098	470	1.3(1)E2
E0503T099	475	1.287(98)E2
E0503T100	480	1.3(1)E2
E0503T101	485	1.3(1)E2
E0503T102	490	1.285(99)E2
E0503T103	495	1.28(11)E2
E0503T104	500	1.29(11)E2
E0503T105	505	1.28(11)E2
E0503T106	510	1.32(11)E2
E0503T107	515	1.27(11)E2
E0503T108	520	1.3(1)E2
E0503T109	525	1.29(11)E2
E0503T110	530	1.3(1)E2
E0503T111	535	1.3(1)E2
E0503T112	540	1.3(1)E2
E0503T113	545	1.31(11)E2
E0503T114	550	1.32(11)E2
E0503T115	555	1.3(1)E2
E0503T116	560	1.3(1)E2
E0503T117	565	1.33(12)E2
E0503T118	570	1.33(12)E2
E0503T119	575	1.30(11)E2
E0503T120	580	1.32(11)E2
E0503T121	585	1.33(12)E2
E0503T122	590	1.31(12)E2
E0503T123	595	1.34(12)E2
E0503T124	600	1.33(12)E2
E0503T125	605	1.33(12)E2
