time point	time	AKAR4pOUT
E0601T001	-15	9.959(46)E1
E0601T002	-10	1.005(3)E2
E0601T003	-5	1.0034(53)E2
E0601T004	0	NA
E0601T005	5	1.0166(55)E2
E0601T006	10	1.0210(41)E2
E0601T007	15	1.0142(53)E2
E0601T008	20	1.0229(56)E2
E0601T009	25	1.0365(47)E2
E0601T010	30	1.0440(38)E2
E0601T011	35	1.0657(66)E2
E0601T012	40	1.0842(77)E2
E0601T013	45	1.0971(55)E2
E0601T014	50	1.1092(76)E2
E0601T015	55	1.1331(97)E2
E0601T016	60	1.1356(84)E2
E0601T017	65	1.1638(77)E2
E0601T018	70	1.187(11)E2
E0601T019	75	1.1957(71)E2
E0601T020	80	1.21(1)E2
E0601T021	85	1.2331(94)E2
E0601T022	90	1.257(11)E2
E0601T023	95	1.2739(82)E2
E0601T024	100	1.2887(76)E2
E0601T025	105	1.3024(74)E2
E0601T026	110	1.308(8)E2
E0601T027	115	1.3350(68)E2
E0601T028	120	1.3447(83)E2
E0601T029	125	1.3732(84)E2
E0601T030	130	1.391(12)E2
E0601T031	135	1.3932(68)E2
E0601T032	140	1.4059(83)E2
E0601T033	145	1.4269(65)E2
E0601T034	150	1.4540(84)E2
E0601T035	155	1.4466(81)E2
E0601T036	160	1.46(1)E2
E0601T037	165	1.4750(66)E2
E0601T038	170	1.4759(94)E2
E0601T039	175	1.4975(97)E2
E0601T040	180	1.506(15)E2
E0601T041	185	1.4999(89)E2
E0601T042	190	1.52(1)E2
E0601T043	195	1.5281(83)E2
E0601T044	200	1.525(11)E2
E0601T045	205	1.5343(87)E2
E0601T046	210	1.56(1)E2
E0601T047	215	1.563(13)E2
E0601T048	220	1.5588(98)E2
E0601T049	225	1.56(1)E2
E0601T050	230	1.5845(91)E2
E0601T051	235	1.5896(95)E2
E0601T052	240	1.5986(51)E2
E0601T053	245	1.6011(62)E2
E0601T054	250	1.6101(85)E2
E0601T055	255	1.61(1)E2
E0601T056	260	1.60(1)E2
E0601T057	265	1.616(8)E2
E0601T058	270	1.6286(73)E2
E0601T059	275	1.628(12)E2
E0601T060	280	1.6262(98)E2
E0601T061	285	1.62(1)E2
E0601T062	290	1.64(1)E2
E0601T063	295	1.641(11)E2
E0601T064	300	1.65(1)E2
E0601T065	305	1.6451(69)E2
E0601T066	310	1.654(5)E2
E0601T067	315	1.6624(87)E2
E0601T068	320	1.666(12)E2
E0601T069	325	1.668(11)E2
E0601T070	330	1.668(12)E2
E0601T071	335	1.6646(96)E2
E0601T072	340	1.6689(98)E2
E0601T073	345	1.68(1)E2
E0601T074	350	1.6869(84)E2
E0601T075	355	1.6872(75)E2
E0601T076	360	1.6824(87)E2
E0601T077	365	1.694(15)E2
E0601T078	370	1.70(1)E2
E0601T079	375	1.6959(76)E2
E0601T080	380	1.704(7)E2
E0601T081	385	1.71(1)E2
E0601T082	390	1.6848(85)E2
E0601T083	395	1.687(15)E2
E0601T084	400	1.7027(71)E2
E0601T085	405	1.713(14)E2
E0601T086	410	1.6993(68)E2
E0601T087	415	1.705(11)E2
E0601T088	420	1.706(11)E2
E0601T089	425	1.707(13)E2
E0601T090	430	1.7030(94)E2
E0601T091	435	1.692(13)E2
E0601T092	440	1.722(12)E2
E0601T093	445	1.7086(96)E2
E0601T094	450	1.71(1)E2
E0601T095	455	1.7087(84)E2
E0601T096	460	1.722(9)E2
E0601T097	465	1.7027(76)E2
E0601T098	470	1.707(13)E2
E0601T099	475	1.7175(91)E2
E0601T100	480	1.712(12)E2
E0601T101	485	1.698(11)E2
E0601T102	490	1.7248(84)E2
E0601T103	495	1.72(1)E2
E0601T104	500	1.721(12)E2
E0601T105	505	1.716(14)E2
E0601T106	510	1.712(12)E2
E0601T107	515	1.72(1)E2
E0601T108	520	1.729(15)E2
E0601T109	525	1.72(1)E2
E0601T110	530	1.714(13)E2
E0601T111	535	1.710(14)E2
E0601T112	540	1.72(1)E2
E0601T113	545	1.7132(93)E2
E0601T114	550	1.7144(85)E2
E0601T115	555	1.717(11)E2
E0601T116	560	1.7140(85)E2
E0601T117	565	1.7049(93)E2
E0601T118	570	1.708(11)E2
E0601T119	575	1.7158(91)E2
E0601T120	580	1.7204(66)E2
E0601T121	585	1.716(12)E2
E0601T122	590	1.73(1)E2
E0601T123	595	1.72(1)E2
E0601T124	600	1.72(1)E2
E0601T125	605	1.7194(97)E2
