time point	time	AKAR4pOUT
E0303T001	-15	1.003(4)E2
E0303T002	-10	9.907(94)E1
E0303T003	-5	9.960(72)E1
E0303T004	0	NA
E0303T005	5	1.015(12)E2
E0303T006	10	1.0049(29)E2
E0303T007	15	1.019(13)E2
E0303T008	20	1.0213(52)E2
E0303T009	25	1.05(1)E2
E0303T010	30	1.0518(61)E2
E0303T011	35	1.06(1)E2
E0303T012	40	1.071(9)E2
E0303T013	45	1.085(15)E2
E0303T014	50	1.087(15)E2
E0303T015	55	1.102(15)E2
E0303T016	60	1.1352(74)E2
E0303T017	65	1.124(18)E2
E0303T018	70	1.135(8)E2
E0303T019	75	1.160(25)E2
E0303T020	80	1.177(19)E2
E0303T021	85	1.169(11)E2
E0303T022	90	1.171(14)E2
E0303T023	95	1.210(18)E2
E0303T024	100	1.209(13)E2
E0303T025	105	1.228(17)E2
E0303T026	110	1.223(23)E2
E0303T027	115	1.25(2)E2
E0303T028	120	1.278(22)E2
E0303T029	125	1.275(25)E2
E0303T030	130	1.282(23)E2
E0303T031	135	1.281(27)E2
E0303T032	140	1.301(15)E2
E0303T033	145	1.296(22)E2
E0303T034	150	1.33(3)E2
E0303T035	155	1.347(31)E2
E0303T036	160	1.352(24)E2
E0303T037	165	1.340(25)E2
E0303T038	170	1.364(24)E2
E0303T039	175	1.374(26)E2
E0303T040	180	1.37(3)E2
E0303T041	185	1.380(22)E2
E0303T042	190	1.381(19)E2
E0303T043	195	1.398(35)E2
E0303T044	200	1.428(35)E2
E0303T045	205	1.421(27)E2
E0303T046	210	1.424(26)E2
E0303T047	215	1.437(13)E2
E0303T048	220	1.448(36)E2
E0303T049	225	1.45(2)E2
E0303T050	230	1.45(2)E2
E0303T051	235	1.472(42)E2
E0303T052	240	1.489(36)E2
E0303T053	245	1.490(26)E2
E0303T054	250	1.479(29)E2
E0303T055	255	1.455(37)E2
E0303T056	260	1.470(23)E2
E0303T057	265	1.502(25)E2
E0303T058	270	1.499(15)E2
E0303T059	275	1.477(24)E2
E0303T060	280	1.519(26)E2
E0303T061	285	1.531(17)E2
E0303T062	290	1.522(31)E2
E0303T063	295	1.506(28)E2
E0303T064	300	1.532(22)E2
E0303T065	305	1.550(38)E2
E0303T066	310	1.531(37)E2
E0303T067	315	1.537(25)E2
E0303T068	320	1.573(22)E2
E0303T069	325	1.554(33)E2
E0303T070	330	1.516(24)E2
E0303T071	335	1.581(27)E2
E0303T072	340	1.543(21)E2
E0303T073	345	1.589(33)E2
E0303T074	350	1.570(26)E2
E0303T075	355	1.566(31)E2
E0303T076	360	1.607(25)E2
E0303T077	365	1.583(39)E2
E0303T078	370	1.562(27)E2
E0303T079	375	1.574(37)E2
E0303T080	380	1.572(19)E2
E0303T081	385	1.606(17)E2
E0303T082	390	1.596(25)E2
E0303T083	395	1.566(19)E2
E0303T084	400	1.611(18)E2
E0303T085	405	1.602(31)E2
E0303T086	410	1.630(19)E2
E0303T087	415	1.622(14)E2
E0303T088	420	1.62(4)E2
E0303T089	425	1.610(29)E2
E0303T090	430	1.617(13)E2
E0303T091	435	1.609(22)E2
E0303T092	440	1.625(24)E2
E0303T093	445	1.610(29)E2
E0303T094	450	1.642(13)E2
E0303T095	455	1.619(16)E2
E0303T096	460	1.63(1)E2
E0303T097	465	1.62(3)E2
E0303T098	470	1.642(22)E2
E0303T099	475	1.631(32)E2
E0303T100	480	1.644(22)E2
E0303T101	485	1.665(14)E2
E0303T102	490	1.649(14)E2
E0303T103	495	1.656(17)E2
E0303T104	500	1.660(33)E2
E0303T105	505	1.646(24)E2
E0303T106	510	1.67(1)E2
E0303T107	515	1.632(23)E2
E0303T108	520	1.653(18)E2
E0303T109	525	1.657(28)E2
E0303T110	530	1.648(28)E2
E0303T111	535	1.663(21)E2
E0303T112	540	1.654(14)E2
E0303T113	545	1.664(36)E2
E0303T114	550	1.665(22)E2
E0303T115	555	1.667(26)E2
E0303T116	560	1.649(15)E2
E0303T117	565	1.677(48)E2
E0303T118	570	1.670(15)E2
E0303T119	575	1.649(19)E2
E0303T120	580	1.663(28)E2
E0303T121	585	1.682(32)E2
E0303T122	590	1.692(23)E2
E0303T123	595	1.663(16)E2
E0303T124	600	1.686(21)E2
E0303T125	605	1.675(37)E2
