id	cAMP	CaN	b_AKAP	t0	type	event	comment
EX11____0nM__TRUE___TRUE	0	1.5	1	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX12____0nM__TRUE__FALSE	0	1.5	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX13____0nM_FALSE__FALSE	0	0	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX21__100nM__TRUE___TRUE	0.1	1.5	1	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX22__100nM__TRUE__FALSE	0.1	1.5	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX23__100nM_FALSE__FALSE	0.1	0	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX31__200nM__TRUE___TRUE	0.2	1.5	1	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX32__200nM__TRUE__FALSE	0.2	1.5	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX33__200nM_FALSE__FALSE	0.2	0	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX41__500nM__TRUE___TRUE	0.5	1.5	1	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX42__500nM__TRUE__FALSE	0.5	1.5	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX43__500nM_FALSE__FALSE	0.5	0	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX51_1000nM__TRUE___TRUE	1	1.5	1	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX52_1000nM__TRUE__FALSE	1	1.5	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX53_1000nM_FALSE__FALSE	1	0	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX61_2000nM__TRUE___TRUE	2	1.5	1	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX62_2000nM__TRUE__FALSE	2	1.5	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX63_2000nM_FALSE__FALSE	2	0	0	-30	time series		Figure 3 in https://doi.org/10.7554/eLife.68164
EX71___dose__TRUE___TRUE	0	1.5	1	-30	dose response		none
EX72__event__TRUE___TRUE	0	1.5	1	-30	time series	cAMP_increase	none
