id	value	median	stdv	prior distribution	scale	unit
k5_1	1.667836985	1.519	3	Normal distribution	log10	s^-1
k1_2	0.094637887	-0.306	3	Normal distribution	log10	1/µM*s
k3_2	-2.483544729	-2.264	3	Normal distribution	log10	1/µM*s
k2_3	-0.230730988	-1.807	3	Normal distribution	log10	s^-1
k3_4	-1.136198159	-2.796	3	Normal distribution	log10	s^-1
k4_3	-2.147382382	-1.824	3	Normal distribution	log10	1/µM*s
k4_1	-2.28418491	-1.42	3	Normal distribution	log10	1/µM*s
k1_4	-2.928144261	-2.585	3	Normal distribution	log10	s^-1
k8_7	-2.149448876	-1.824	3	Normal distribution	log10	1/µM*s
k7_8	-1.079309999	-2.796	3	Normal distribution	log10	s^-1
k5_6	-0.177019247	-0.305	3	Normal distribution	log10	1/µM*s
k6_5	-0.22591464	0.15	3	Normal distribution	log10	s^-1
k8_5	-0.998736089	0.322	3	Normal distribution	log10	1/µM*s
k7_6	-1.009160401	-0.525	3	Normal distribution	log10	1/µM*s
k6_7	-1.653376958	-1.745	3	Normal distribution	log10	s^-1
k6_2	1.529394655	1.519	3	Normal distribution	log10	s^-1
k5_8	-3.696929487	-3.523	3	Normal distribution	log10	s^-1
AKAPoff_1	-0.531584138	0.415	3	Normal distribution	log10	s^-1
AKAPoff_3	1.17367158	1.301	3	Normal distribution	log10	s^-1
AKAPon_1	-0.365851062	-0.347	0.279	Normal distribution	log10	s^-1
AKAPon_3	0.236153457	0.301	3	Normal distribution	log10	s^-1
kf_C_AKAR4	-1.742480407	-1.745	0.0969	Normal distribution	log10	1/µM*s
kb_C_AKAR4	-0.980459545	-0.975	0.0969	Normal distribution	log10	s^-1
kcat_AKARp	1.00779823	1.009	0.0969	Normal distribution	log10	s^-1
kmOFF	2.009602466	2	0.176	Normal distribution	log10	µM
kmON	-0.005703976	0	0.176	Normal distribution	log10	µM
KD_T	-0.175252976	-0.155	0.301	Normal distribution	log10	µM
