id	kinetic law	reactants	arw	products	is reversible
r51	k5_1*Rii_C	Rii_C	<=>	RiiP_C	0
r14	k4_1*RiiP*C - k1_4*RiiP_C	RiiP + C	<=>	RiiP_C	1
r12	k1_2*RiiP_C*cAMP - k2_1*RiiP_C_cAMP	RiiP_C + cAMP	<=>	RiiP_C_cAMP	1
r43	k4_3*cAMP*RiiP - k3_4*RiiP_cAMP	cAMP + RiiP	<=>	RiiP_cAMP	1
r23	k3_2*RiiP_cAMP*C - k2_3*RiiP_C_cAMP	RiiP_cAMP + C	<=>	RiiP_C_cAMP	1
r78	k8_7*cAMP*Rii - k7_8*Rii_cAMP	cAMP + Rii	<=>	Rii_cAMP	1
r56	k5_6*Rii_C*cAMP - k6_5*Rii_C_cAMP	Rii_C + cAMP	<=>	Rii_C_cAMP	1
r76	k7_6*Rii_cAMP*C - k6_7*Rii_C_cAMP	Rii_cAMP + C	<=>	Rii_C_cAMP	1
r62	k6_2*Rii_C_cAMP	Rii_C_cAMP	<=>	RiiP_C_cAMP	0
r58	k8_5*Rii*C - k5_8*Rii_C	Rii + C	<=>	Rii_C	1
r44	k4_4p*RiiP*CaN - k4p_4*RiiP_CaN	RiiP + CaN	<=>	RiiP_CaN	1
r33	k3_3p*CaN*RiiP_cAMP - k3p_3*RiiP_cAMP_CaN	CaN + RiiP_cAMP	<=>	RiiP_cAMP_CaN	1
r48	k4p_8*RiiP_CaN	RiiP_CaN	<=>	Rii + CaN	0
r37	k3p_7*RiiP_cAMP_CaN	RiiP_cAMP_CaN	<=>	CaN + Rii_cAMP	0
r1	kf_C_AKAR4*C*AKAR4 - kb_C_AKAR4*AKAR4_C	C + AKAR4	<=>	AKAR4_C	1
r2	kcat_AKARp*AKAR4_C	AKAR4_C	<=>	AKAR4p + C	0
