!!SBtab Document='AKAP79' Version='1.0' TableName='X0uM_cAMPno_CaN_0_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0101T001	-15	100.494	0.637777
E0101T002	-10	101.667	0.998685
E0101T003	-5	100.802	0.081659
E0101T004	0	NA	NA
E0101T005	5	99.2593	1.02411
E0101T006	10	99.321	1.32501
E0101T007	15	99.4444	0.542543
E0101T008	20	99.8765	1.32501
E0101T009	25	98.2716	1.25409
E0101T010	30	98.9815	1.79145
E0101T011	35	98.7963	1.07317
E0101T012	40	98.3951	1.54968
E0101T013	45	99.8148	0.981365
E0101T014	50	99.0432	1.14198
E0101T015	55	100.401	0.20239
E0101T016	60	99.537	1.54197
E0101T017	65	99.4444	1.49014
E0101T018	70	98.6728	1.29335
E0101T019	75	98.2716	1.20172
E0101T020	80	99.2284	0.962745
E0101T021	85	98.7963	0.848625
E0101T022	90	98.5802	0.697695
E0101T023	95	98.5494	1.14323
E0101T024	100	98.6111	0.835046
E0101T025	105	100.494	0.626475
E0101T026	110	99.4136	0.571613
E0101T027	115	98.858	0.721853
E0101T028	120	98.9815	0.0534584
E0101T029	125	99.1975	0.576591
E0101T030	130	98.9815	1.19057
E0101T031	135	98.7037	0.791111
E0101T032	140	99.5679	1.1777
E0101T033	145	100.154	0.653272
E0101T034	150	99.4444	0.682511
E0101T035	155	99.537	0.669831
E0101T036	160	97.9012	1.43078
E0101T037	165	99.0741	1.3007
E0101T038	170	99.3827	0.717883
E0101T039	175	100.185	1.39812
E0101T040	180	100.71	0.994862
E0101T041	185	99.4444	1.11111
E0101T042	190	101.821	0.741383
E0101T043	195	100	1.15029
E0101T044	200	99.537	0.791111
E0101T045	205	100	0.694959
E0101T046	210	97.8395	2.22757
E0101T047	215	100.679	0.322232
E0101T048	220	99.7222	1.33539
E0101T049	225	100.525	0.869144
E0101T050	230	99.6605	0.709877
E0101T051	235	99.784	0.415235
E0101T052	240	100.988	0.294426
E0101T053	245	99.9691	0.758531
E0101T054	250	100.309	0.163318
E0101T055	255	101.173	0.322232
E0101T056	260	100.34	0.479141
E0101T057	265	101.019	0.889724
E0101T058	270	99.1975	1.69921
E0101T059	275	100.556	1.38683
E0101T060	280	99.5988	1.00344
E0101T061	285	99.537	0.558122
E0101T062	290	99.8457	1.65836
E0101T063	295	101.79	0.496712
E0101T064	300	101.173	0.695644
E0101T065	305	100.926	0.707188
E0101T066	310	100.309	0.910886
E0101T067	315	101.944	1.61794
E0101T068	320	101.42	0.778977
E0101T069	325	101.574	0.648148
E0101T070	330	101.173	1.33575
E0101T071	335	100.185	1.01992
E0101T072	340	101.142	1.43477
E0101T073	345	101.049	0.89026
E0101T074	350	101.79	1.37372
E0101T075	355	101.543	1.44073
E0101T076	360	101.667	0.748417
E0101T077	365	101.914	0.950798
E0101T078	370	103.117	2.19722
E0101T079	375	102.654	0.818338
E0101T080	380	101.79	1.51706
E0101T081	385	101.296	2.4451
E0101T082	390	102.778	1.60642
E0101T083	395	102.87	0.141438
E0101T084	400	101.79	0.711887
E0101T085	405	103.426	2.39491
E0101T086	410	103.858	2.15851
E0101T087	415	104.784	2.33346
E0101T088	420	102.593	2.46547
E0101T089	425	102.253	2.25562
E0101T090	430	102.716	1.97531
E0101T091	435	103.58	2.14256
E0101T092	440	103.765	1.71761
E0101T093	445	102.377	2.14656
E0101T094	450	104.043	3.05478
E0101T095	455	104.198	2.03024
E0101T096	460	103.272	1.80206
E0101T097	465	104.753	1.48566
E0101T098	470	104.012	2.84202
E0101T099	475	104.599	3.1035
E0101T100	480	104.136	2.01186
E0101T101	485	104.506	2.96794
E0101T102	490	104.321	3.0804
E0101T103	495	105.031	3.18889
E0101T104	500	104.444	2.97499
E0101T105	505	104.753	2.74171
E0101T106	510	106.142	3.04588
E0101T107	515	104.352	2.4222
E0101T108	520	105.463	2.31543
E0101T109	525	105.093	2.27622
E0101T110	530	106.481	3.10749
E0101T111	535	105.463	2.26868
E0101T112	540	106.605	3.08688
E0101T113	545	106.574	2.86937
E0101T114	550	106.327	3.09936
E0101T115	555	107.099	3.36165
E0101T116	560	105.864	2.23909
E0101T117	565	106.914	3.55662
E0101T118	570	105.741	2.84537
E0101T119	575	105.093	3.3183
E0101T120	580	104.043	4.23683
E0101T121	585	105.772	2.60048
E0101T122	590	107.623	3.66388
E0101T123	595	107.654	3.53405
E0101T124	600	104.753	4.24526
E0101T125	605	108.364	3.50563
