!!SBtab Document='AKAP79' Version='1.0' TableName='X1000nM_cAMPCaN_only_1_uM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0602T001	-15	99.6248	0.408692
E0602T002	-10	99.5029	0.296733
E0602T003	-5	99.693	0.393032
E0602T004	0	NA	NA
E0602T005	5	101.199	0.309653
E0602T006	10	101.486	0.425285
E0602T007	15	102.013	0.292104
E0602T008	20	102.515	0.448958
E0602T009	25	103.065	0.378067
E0602T010	30	104.05	0.543321
E0602T011	35	105.677	0.549067
E0602T012	40	106.335	0.512281
E0602T013	45	107.417	0.582168
E0602T014	50	109.323	0.42402
E0602T015	55	110.171	0.625444
E0602T016	60	111.028	0.675752
E0602T017	65	113.806	0.665057
E0602T018	70	115.029	0.736738
E0602T019	75	115.697	0.602377
E0602T020	80	117.412	0.752641
E0602T021	85	118.655	0.855403
E0602T022	90	120.205	0.776643
E0602T023	95	121.886	0.736267
E0602T024	100	123.056	0.717219
E0602T025	105	124.327	0.96972
E0602T026	110	126.467	0.929338
E0602T027	115	127.173	0.942838
E0602T028	120	128.826	0.821061
E0602T029	125	129.664	0.968152
E0602T030	130	130.595	1.16263
E0602T031	135	132.261	0.905291
E0602T032	140	133.197	0.856984
E0602T033	145	134.966	1.02644
E0602T034	150	136.058	1.05166
E0602T035	155	136.525	1.14174
E0602T036	160	137.953	1.14037
E0602T037	165	138.777	1.16747
E0602T038	170	140.093	1.06783
E0602T039	175	141.54	1.14354
E0602T040	180	142.135	1.39619
E0602T041	185	142.929	1.21393
E0602T042	190	143.099	1.08722
E0602T043	195	144.981	1.01006
E0602T044	200	144.917	1.22167
E0602T045	205	145.824	1.2178
E0602T046	210	147.671	1.2913
E0602T047	215	147.178	1.3404
E0602T048	220	148.514	1.14683
E0602T049	225	149.81	0.874334
E0602T050	230	149.747	1.13764
E0602T051	235	149.844	1.10894
E0602T052	240	150.77	1.02568
E0602T053	245	151.779	1.30212
E0602T054	250	152.836	1.1485
E0602T055	255	152.71	1.17661
E0602T056	260	153.577	0.998991
E0602T057	265	154.162	1.19248
E0602T058	270	154.508	0.909758
E0602T059	275	154.732	0.988413
E0602T060	280	155.965	0.875676
E0602T061	285	155.526	1.08617
E0602T062	290	156.823	1.14634
E0602T063	295	158.046	1.04716
E0602T064	300	157.651	1.29651
E0602T065	305	157.88	0.989401
E0602T066	310	158.148	1.01943
E0602T067	315	158.782	1.06242
E0602T068	320	159.318	1.02749
E0602T069	325	161.092	1.14921
E0602T070	330	160.141	1.01161
E0602T071	335	160.224	1.1676
E0602T072	340	161.36	1.18221
E0602T073	345	161.394	1.05309
E0602T074	350	161.623	1.02596
E0602T075	355	162.646	1.18015
E0602T076	360	161.988	0.972573
E0602T077	365	161.545	1.0451
E0602T078	370	161.944	1.06204
E0602T079	375	163.021	0.846561
E0602T080	380	162.856	0.98201
E0602T081	385	162.939	0.799177
E0602T082	390	165.2	1.0201
E0602T083	395	163.192	0.974659
E0602T084	400	165.029	0.68464
E0602T085	405	164.508	1.20583
E0602T086	410	164.498	0.872435
E0602T087	415	164.976	1.0755
E0602T088	420	165.302	0.780708
E0602T089	425	164.976	1.01647
E0602T090	430	165.867	0.856775
E0602T091	435	165.512	0.850878
E0602T092	440	166.496	0.897754
E0602T093	445	166.779	1.06897
E0602T094	450	167.485	0.871168
E0602T095	455	165.37	1.05065
E0602T096	460	165.731	1.04682
E0602T097	465	166.637	0.968665
E0602T098	470	166.174	1.18836
E0602T099	475	166.223	0.797662
E0602T100	480	166.886	0.766756
E0602T101	485	167.398	1.03826
E0602T102	490	166.925	0.721143
E0602T103	495	166.823	1.06065
E0602T104	500	166.949	0.853029
E0602T105	505	168.143	1.11191
E0602T106	510	167.281	1.1231
E0602T107	515	168.031	0.985134
E0602T108	520	168.392	1.25803
E0602T109	525	168.567	0.716008
E0602T110	530	166.964	0.795522
E0602T111	535	168.021	0.89066
E0602T112	540	168.441	0.940919
E0602T113	545	168.426	0.668895
E0602T114	550	167.841	0.880948
E0602T115	555	168.026	0.824535
E0602T116	560	167.461	0.787978
E0602T117	565	167.802	0.75803
E0602T118	570	168.904	1.03192
E0602T119	575	168.07	0.98695
E0602T120	580	168.811	1.0096
E0602T121	585	169.059	1.10044
E0602T122	590	167.573	0.732388
E0602T123	595	168.567	0.763025
E0602T124	600	168.694	1.10919
E0602T125	605	168.84	0.717092
