!!SBtab Document='AKAP79' Version='1.0' TableName='X1000nM_cAMPno_CaN_1_uM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0601T001	-15	99.5885	0.460154
E0601T002	-10	100.535	0.307783
E0601T003	-5	100.34	0.531232
E0601T004	0	NA	NA
E0601T005	5	101.656	0.550484
E0601T006	10	102.099	0.41178
E0601T007	15	101.42	0.530783
E0601T008	20	102.294	0.565493
E0601T009	25	103.652	0.479666
E0601T010	30	104.403	0.381804
E0601T011	35	106.574	0.662503
E0601T012	40	108.416	0.772136
E0601T013	45	109.712	0.551132
E0601T014	50	110.916	0.765943
E0601T015	55	113.313	0.979395
E0601T016	60	113.56	0.84822
E0601T017	65	116.379	0.771365
E0601T018	70	118.693	1.10082
E0601T019	75	119.568	0.712054
E0601T020	80	121.183	1.0008
E0601T021	85	123.313	0.948136
E0601T022	90	125.669	1.15047
E0601T023	95	127.387	0.82886
E0601T024	100	128.868	0.768013
E0601T025	105	130.237	0.741883
E0601T026	110	130.761	0.801545
E0601T027	115	133.498	0.684562
E0601T028	120	134.475	0.836044
E0601T029	125	137.325	0.847845
E0601T030	130	139.053	1.2154
E0601T031	135	139.321	0.689454
E0601T032	140	140.586	0.832905
E0601T033	145	142.695	0.651528
E0601T034	150	145.401	0.849046
E0601T035	155	144.66	0.816152
E0601T036	160	146.235	1.02922
E0601T037	165	147.5	0.666266
E0601T038	170	147.593	0.948792
E0601T039	175	149.753	0.977475
E0601T040	180	150.556	1.52965
E0601T041	185	149.99	0.894722
E0601T042	190	152.16	1.0421
E0601T043	195	152.809	0.833762
E0601T044	200	152.49	1.125
E0601T045	205	153.426	0.879765
E0601T046	210	155.844	1.0517
E0601T047	215	156.255	1.3604
E0601T048	220	155.885	0.984286
E0601T049	225	156.461	1.03508
E0601T050	230	158.447	0.917111
E0601T051	235	158.961	0.956638
E0601T052	240	159.856	0.51394
E0601T053	245	160.113	0.625291
E0601T054	250	161.008	0.850649
E0601T055	255	161.337	1.01161
E0601T056	260	160.401	1.01077
E0601T057	265	161.605	0.808088
E0601T058	270	162.86	0.731918
E0601T059	275	162.757	1.26438
E0601T060	280	162.623	0.982941
E0601T061	285	162.407	1.03935
E0601T062	290	163.879	1.02742
E0601T063	295	164.053	1.14653
E0601T064	300	164.558	1.08857
E0601T065	305	164.506	0.693758
E0601T066	310	165.391	0.501668
E0601T067	315	166.245	0.874349
E0601T068	320	166.636	1.20982
E0601T069	325	166.77	1.11426
E0601T070	330	166.831	1.24224
E0601T071	335	166.461	0.962841
E0601T072	340	166.893	0.986582
E0601T073	345	168.364	1.09872
E0601T074	350	168.693	0.840652
E0601T075	355	168.724	0.752349
E0601T076	360	168.241	0.876375
E0601T077	365	169.352	1.57347
E0601T078	370	169.506	1.09263
E0601T079	375	169.588	0.768065
E0601T080	380	170.35	0.70816
E0601T081	385	170.556	1.03141
E0601T082	390	168.477	0.855906
E0601T083	395	168.735	1.57921
E0601T084	400	170.267	0.714965
E0601T085	405	171.255	1.49724
E0601T086	410	169.928	0.685258
E0601T087	415	170.473	1.16473
E0601T088	420	170.628	1.19045
E0601T089	425	170.689	1.30144
E0601T090	430	170.298	0.946376
E0601T091	435	169.239	1.32822
E0601T092	440	172.15	1.23445
E0601T093	445	170.864	0.968172
E0601T094	450	170.7	1.0946
E0601T095	455	170.874	0.842162
E0601T096	460	172.15	0.901131
E0601T097	465	170.267	0.761421
E0601T098	470	170.73	1.31186
E0601T099	475	171.749	0.914857
E0601T100	480	171.152	1.20074
E0601T101	485	169.794	1.18142
E0601T102	490	172.479	0.847471
E0601T103	495	171.934	1.01153
E0601T104	500	172.13	1.21591
E0601T105	505	171.553	1.41713
E0601T106	510	171.224	1.29389
E0601T107	515	172.233	1.07776
E0601T108	520	172.901	1.58853
E0601T109	525	171.656	1.05532
E0601T110	530	171.399	1.31277
E0601T111	535	170.977	1.49573
E0601T112	540	172.099	1.09329
E0601T113	545	171.317	0.930132
E0601T114	550	171.44	0.855906
E0601T115	555	171.677	1.17501
E0601T116	560	171.399	0.851908
E0601T117	565	170.494	0.930544
E0601T118	570	170.823	1.12522
E0601T119	575	171.584	0.911075
E0601T120	580	172.037	0.666802
E0601T121	585	171.615	1.2831
E0601T122	590	172.963	1.05436
E0601T123	595	171.903	1.03982
E0601T124	600	171.677	1.08492
E0601T125	605	171.944	0.9721
