!!SBtab Document='AKAP79' Version='1.0' TableName='X100nM_cAMPCaN_AKAP79_100_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0203T001	-15	99.4444	0.578241
E0203T002	-10	99.2593	0.325174
E0203T003	-5	99.8148	0.694959
E0203T004	0	NA	NA
E0203T005	5	97.8086	1.869
E0203T006	10	98.0556	0.892931
E0203T007	15	97.4074	1.85494
E0203T008	20	97.4383	1.79729
E0203T009	25	100.556	1.08509
E0203T010	30	97.6235	1.29446
E0203T011	35	98.5802	1.1038
E0203T012	40	98.5802	1.06961
E0203T013	45	99.1049	0.294426
E0203T014	50	98.3951	1.19217
E0203T015	55	99.9383	0.950798
E0203T016	60	98.8889	0.282875
E0203T017	65	98.0864	0.869144
E0203T018	70	99.0741	1.25029
E0203T019	75	98.4877	1.02039
E0203T020	80	98.7037	0.456748
E0203T021	85	98.7963	0.650349
E0203T022	90	98.1173	1.98181
E0203T023	95	98.5802	0.644463
E0203T024	100	100.278	0.385494
E0203T025	105	98.9198	0.454658
E0203T026	110	99.2284	1.44073
E0203T027	115	100.031	1.312
E0203T028	120	100.247	0.294426
E0203T029	125	98.6728	1.92549
E0203T030	130	98.5802	0.432099
E0203T031	135	98.8272	0.644463
E0203T032	140	99.2284	1.50192
E0203T033	145	99.321	0.496712
E0203T034	150	98.5802	0.496712
E0203T035	155	99.6605	1.08157
E0203T036	160	100.37	0.945775
E0203T037	165	100.525	0.849186
E0203T038	170	100.154	1.30545
E0203T039	175	100.031	1.02318
E0203T040	180	99.321	0.527408
E0203T041	185	98.642	0.294426
E0203T042	190	100.926	0.0534584
E0203T043	195	99.5988	0.644463
E0203T044	200	100.525	0.379266
E0203T045	205	99.2284	0.788095
E0203T046	210	98.9198	0.839029
E0203T047	215	100.278	0.927468
E0203T048	220	99.537	0.437576
E0203T049	225	99.4753	0.885431
E0203T050	230	99.7531	0.482114
E0203T051	235	99.3519	0.602445
E0203T052	240	100.494	0.505269
E0203T053	245	99.8148	0.899309
E0203T054	250	99.6296	1.48822
E0203T055	255	100.031	0.222565
E0203T056	260	100.37	0.899309
E0203T057	265	99.9691	0.849186
E0203T058	270	99.3519	1.87333
E0203T059	275	101.019	0.748417
E0203T060	280	99.5062	1.32501
E0203T061	285	99.6914	0.81659
E0203T062	290	99.537	1.06515
E0203T063	295	99.7531	0.852545
E0203T064	300	98.6728	0.729728
E0203T065	305	99.2593	0.23302
E0203T066	310	98.6111	1.63114
E0203T067	315	98.4568	0.802469
E0203T068	320	98.858	1.16182
E0203T069	325	100.679	0.241057
E0203T070	330	99.321	1.28893
E0203T071	335	99.5988	1.16428
E0203T072	340	99.5062	0.538136
E0203T073	345	100.031	0.764162
E0203T074	350	98.6111	1.1315
E0203T075	355	99.0123	0.67267
E0203T076	360	99.9691	0.596087
E0203T077	365	100.031	1.36746
E0203T078	370	101.698	0.711887
E0203T079	375	100	0.616512
E0203T080	380	99.7222	0.950297
E0203T081	385	99.3827	1.47407
E0203T082	390	99.8765	0.294426
E0203T083	395	99.2284	1.05617
E0203T084	400	99.8765	0.835616
E0203T085	405	100.864	0.0617284
E0203T086	410	99.8148	1.37441
E0203T087	415	99.5679	0.9891
E0203T088	420	99.7222	0.990063
E0203T089	425	99.9691	1.14946
E0203T090	430	100.37	1.53919
E0203T091	435	99.537	1.17243
E0203T092	440	99.1667	0.694959
E0203T093	445	101.049	1.53299
E0203T094	450	100.093	0.699059
E0203T095	455	99.8457	0.508089
E0203T096	460	98.3642	0.800687
E0203T097	465	101.451	0.485069
E0203T098	470	101.389	0.578241
E0203T099	475	100.278	0.297644
E0203T100	480	100.309	0.482114
E0203T101	485	101.296	0.424313
E0203T102	490	102.253	2.26889
E0203T103	495	101.389	0.911931
E0203T104	500	99.9691	1.51989
E0203T105	505	101.42	0.859223
E0203T106	510	101.235	0.697695
E0203T107	515	100.556	1.28634
E0203T108	520	101.296	0.748417
E0203T109	525	101.111	0.883277
E0203T110	530	99.321	1.13444
E0203T111	535	100.802	0.46706
E0203T112	540	100.864	0.619594
E0203T113	545	100.957	0.375479
E0203T114	550	99.0123	0.571613
E0203T115	555	101.821	0.241057
E0203T116	560	100.556	1.283
E0203T117	565	100.278	0.515534
E0203T118	570	100.617	0.576591
E0203T119	575	100.957	1.23804
E0203T120	580	100.216	0.379266
E0203T121	585	101.512	0.938698
E0203T122	590	101.543	0.721853
E0203T123	595	100.679	0.322232
E0203T124	600	100.123	0.958282
E0203T125	605	100.031	0.910886
