!!SBtab Document='AKAP79' Version='1.0' TableName='X200nM_cAMPno_CaN_200_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0401T001	-15	100.532	0.529717
E0401T002	-10	100.185	0.516918
E0401T003	-5	100.579	0.873823
E0401T004	0	NA	NA
E0401T005	5	100.255	0.582396
E0401T006	10	101.759	0.764473
E0401T007	15	100.764	0.718588
E0401T008	20	100.926	0.181286
E0401T009	25	99.838	0.97653
E0401T010	30	100.417	0.587434
E0401T011	35	99.5833	1.23447
E0401T012	40	100.856	1.75616
E0401T013	45	101.065	1.43668
E0401T014	50	101.019	1.01219
E0401T015	55	101.065	2.0118
E0401T016	60	101.991	2.04282
E0401T017	65	103.194	2.24414
E0401T018	70	103.032	2.12505
E0401T019	75	103.403	3.03829
E0401T020	80	103.981	2.51936
E0401T021	85	104.282	3.46973
E0401T022	90	104.12	2.98566
E0401T023	95	104.282	3.62146
E0401T024	100	104.028	3.0289
E0401T025	105	105.509	3.39629
E0401T026	110	105.764	2.85624
E0401T027	115	106.782	3.63878
E0401T028	120	106.389	4.44894
E0401T029	125	107.639	4.55754
E0401T030	130	109.583	3.33815
E0401T031	135	109.329	4.55877
E0401T032	140	109.676	4.10769
E0401T033	145	109.722	4.21186
E0401T034	150	110.972	4.75156
E0401T035	155	110.995	5.2357
E0401T036	160	110.787	5.02757
E0401T037	165	111.366	5.93513
E0401T038	170	112.384	5.29108
E0401T039	175	111.852	5.71267
E0401T040	180	112.292	6.09019
E0401T041	185	112.454	5.52648
E0401T042	190	113.426	5.9014
E0401T043	195	114.977	5.84023
E0401T044	200	115.093	6.94187
E0401T045	205	115.278	7.2407
E0401T046	210	115.139	6.99289
E0401T047	215	116.782	7.50394
E0401T048	220	115.324	7.2752
E0401T049	225	117.801	7.7608
E0401T050	230	119.769	7.89724
E0401T051	235	116.62	7.06829
E0401T052	240	118.912	8.02627
E0401T053	245	118.912	8.49646
E0401T054	250	121.25	8.15222
E0401T055	255	119.884	8.36614
E0401T056	260	120.394	8.40057
E0401T057	265	121.551	7.92703
E0401T058	270	121.713	7.98066
E0401T059	275	123.31	9.09455
E0401T060	280	122.801	7.60354
E0401T061	285	122.523	9.07678
E0401T062	290	123.565	9.53827
E0401T063	295	123.287	8.5704
E0401T064	300	122.708	8.08542
E0401T065	305	123.958	8.39495
E0401T066	310	125.949	9.53467
E0401T067	315	127.338	9.38627
E0401T068	320	126.296	8.64051
E0401T069	325	126.528	10.2813
E0401T070	330	127.477	9.52395
E0401T071	335	126.921	10.1065
E0401T072	340	128.148	9.61151
E0401T073	345	127.407	10.4295
E0401T074	350	128.356	9.97742
E0401T075	355	128.912	10.3539
E0401T076	360	128.356	10.0552
E0401T077	365	131.019	10.1738
E0401T078	370	131.019	10.2865
E0401T079	375	129.792	10.6079
E0401T080	380	130.069	10.6712
E0401T081	385	130.926	11.3429
E0401T082	390	131.319	10.0809
E0401T083	395	131.458	11.0764
E0401T084	400	132.708	11.4073
E0401T085	405	131.875	11.1316
E0401T086	410	131.134	10.8815
E0401T087	415	132.037	10.3481
E0401T088	420	131.412	11.3974
E0401T089	425	131.806	10.5081
E0401T090	430	134.005	11.2162
E0401T091	435	134.097	11.5167
E0401T092	440	133.565	11.3778
E0401T093	445	135.532	12.0147
E0401T094	450	136.065	11.2523
E0401T095	455	135.486	12.6088
E0401T096	460	135.88	11.3144
E0401T097	465	134.769	11.4234
E0401T098	470	136.366	12.093
E0401T099	475	137.245	12.143
E0401T100	480	135.856	11.7094
E0401T101	485	135.324	11.8674
E0401T102	490	136.69	12.3604
E0401T103	495	140.556	12.2695
E0401T104	500	137.801	12.58
E0401T105	505	139.167	13.4201
E0401T106	510	139.005	12.6116
E0401T107	515	138.009	12.553
E0401T108	520	136.366	11.0816
E0401T109	525	140.903	13.9171
E0401T110	530	140.926	12.2032
E0401T111	535	137.986	11.9885
E0401T112	540	139.375	12.3974
E0401T113	545	139.907	13.9592
E0401T114	550	141.134	12.7872
E0401T115	555	140.556	12.1036
E0401T116	560	140.88	12.7806
E0401T117	565	140.602	12.5141
E0401T118	570	141.528	12.7551
E0401T119	575	140.81	13.4401
E0401T120	580	142.153	12.4448
E0401T121	585	141.852	12.1849
E0401T122	590	143.472	13.7672
E0401T123	595	142.523	12.2448
E0401T124	600	142.94	13.7582
E0401T125	605	141.782	12.7212
