!!SBtab Document='AKAP79' Version='1.0' TableName='X500nM_cAMPCaN_AKAP79_500_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	>AKAR4pERR
E0503T001	-15	99.9769	0.347222
E0503T002	-10	99.7222	0.541225
E0503T003	-5	99.7454	1.30529
E0503T004	0	NA	NA
E0503T005	5	99.6528	1.01808
E0503T006	10	100.625	0.343082
E0503T007	15	100	0.605992
E0503T008	20	99.7222	1.23302
E0503T009	25	100.463	0.911147
E0503T010	30	100.926	0.932845
E0503T011	35	102.269	1.79165
E0503T012	40	101.389	1.28244
E0503T013	45	102.176	1.19447
E0503T014	50	100.995	1.01808
E0503T015	55	102.106	1.75372
E0503T016	60	103.356	1.73529
E0503T017	65	104.444	2.40652
E0503T018	70	103.773	2.56722
E0503T019	75	104.236	2.02521
E0503T020	80	104.653	1.99929
E0503T021	85	105.556	2.65118
E0503T022	90	103.773	2.49123
E0503T023	95	106.435	2.68479
E0503T024	100	105.463	2.07698
E0503T025	105	105.648	3.19791
E0503T026	110	106.134	2.62991
E0503T027	115	108.125	2.90166
E0503T028	120	107.708	3.54126
E0503T029	125	108.079	4.01781
E0503T030	130	107.94	3.75017
E0503T031	135	109.491	3.8831
E0503T032	140	108.542	3.66616
E0503T033	145	108.819	3.88031
E0503T034	150	110.185	3.60933
E0503T035	155	109.167	4.31939
E0503T036	160	110.37	4.31542
E0503T037	165	110.37	4.41444
E0503T038	170	111.667	4.68745
E0503T039	175	111.921	4.14473
E0503T040	180	111.597	5.33572
E0503T041	185	112.315	5.24451
E0503T042	190	112.801	5.20888
E0503T043	195	112.778	5.65813
E0503T044	200	113.657	6.12075
E0503T045	205	114.051	5.47738
E0503T046	210	114.468	6.08961
E0503T047	215	113.287	5.44705
E0503T048	220	115.463	5.90866
E0503T049	225	115.625	5.40596
E0503T050	230	116.551	6.25969
E0503T051	235	116.227	6.61993
E0503T052	240	116.181	6.20858
E0503T053	245	117.06	6.7122
E0503T054	250	116.898	6.98788
E0503T055	255	116.458	7.20136
E0503T056	260	118.171	6.99042
E0503T057	265	117.801	7.80386
E0503T058	270	117.778	6.71929
E0503T059	275	118.009	7.74155
E0503T060	280	119.282	7.66297
E0503T061	285	116.806	6.79295
E0503T062	290	118.356	6.74003
E0503T063	295	118.935	7.60298
E0503T064	300	117.801	8.2048
E0503T065	305	120.324	7.3256
E0503T066	310	120.486	8.31998
E0503T067	315	120.185	8.34524
E0503T068	320	121.065	8.34657
E0503T069	325	121.597	8.01861
E0503T070	330	121.551	8.73937
E0503T071	335	121.782	9.07544
E0503T072	340	120.625	8.45127
E0503T073	345	123.75	8.97539
E0503T074	350	122.708	8.50117
E0503T075	355	121.644	8.19112
E0503T076	360	122.477	8.89984
E0503T077	365	123.032	9.30639
E0503T078	370	122.778	9.24095
E0503T079	375	123.819	7.94593
E0503T080	380	124.375	8.27849
E0503T081	385	121.505	8.32693
E0503T082	390	125.394	9.68876
E0503T083	395	125.394	8.9065
E0503T084	400	123.472	8.94893
E0503T085	405	124.444	10.0527
E0503T086	410	124.653	9.83455
E0503T087	415	126.667	9.39187
E0503T088	420	126.852	10.1659
E0503T089	425	127.569	10.1182
E0503T090	430	126.759	9.81583
E0503T091	435	126.366	9.71151
E0503T092	440	125.417	10.3421
E0503T093	445	126.273	9.88881
E0503T094	450	126.736	9.77757
E0503T095	455	126.806	10.0775
E0503T096	460	128.519	9.67596
E0503T097	465	127.616	10.647
E0503T098	470	129.097	10.0056
E0503T099	475	128.681	9.85117
E0503T100	480	126.852	10.9325
E0503T101	485	129.352	10.5215
E0503T102	490	128.495	9.9775
E0503T103	495	128.032	11.2361
E0503T104	500	129.468	11.2154
E0503T105	505	128.495	11.4025
E0503T106	510	131.713	11.5734
E0503T107	515	127.106	11.0587
E0503T108	520	131.759	10.4949
E0503T109	525	129.282	11.1505
E0503T110	530	130.231	10.6193
E0503T111	535	130.208	10.2486
E0503T112	540	130.926	10.9088
E0503T113	545	130.532	11.7952
E0503T114	550	131.991	11.3622
E0503T115	555	131.69	10.7372
E0503T116	560	131.111	10.9119
E0503T117	565	132.593	12.294
E0503T118	570	133.31	12.3384
E0503T119	575	130.394	11.0726
E0503T120	580	132.315	11.483
E0503T121	585	132.917	12.3588
E0503T122	590	131.366	12.0531
E0503T123	595	133.866	12.9724
E0503T124	600	132.986	12.2514
E0503T125	605	133.125	12.2953
