!!SBtab Document='AKAP79' Version='1.0' TableName='X500nM_cAMPCaN_only_500_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0502T001	-15	100.81	0.812826
E0502T002	-10	100.208	1.17022
E0502T003	-5	100.231	0.829466
E0502T004	0	NA	NA
E0502T005	5	101.204	0.419231
E0502T006	10	100.116	0.66488
E0502T007	15	100.88	1.0019
E0502T008	20	100.972	1.15246
E0502T009	25	100.903	1.04304
E0502T010	30	102.407	1.61219
E0502T011	35	102.963	1.40067
E0502T012	40	104.769	2.02807
E0502T013	45	103.542	1.44257
E0502T014	50	105.532	2.00749
E0502T015	55	106.389	3.0191
E0502T016	60	106.921	2.63994
E0502T017	65	108.102	3.37032
E0502T018	70	108.866	3.1582
E0502T019	75	110.116	4.05287
E0502T020	80	110.208	3.91332
E0502T021	85	113.472	3.85002
E0502T022	90	114.329	4.16879
E0502T023	95	114.398	5.33011
E0502T024	100	113.102	4.85111
E0502T025	105	116.551	6.15345
E0502T026	110	116.481	5.90358
E0502T027	115	118.218	5.19968
E0502T028	120	119.282	5.94162
E0502T029	125	119.606	5.95003
E0502T030	130	121.366	6.28373
E0502T031	135	122.106	6.94366
E0502T032	140	123.981	6.59502
E0502T033	145	124.167	7.00784
E0502T034	150	124.005	6.5494
E0502T035	155	126.389	7.63098
E0502T036	160	128.102	7.19661
E0502T037	165	127.546	7.91089
E0502T038	170	129.213	7.86606
E0502T039	175	128.102	7.4248
E0502T040	180	130.833	8.16111
E0502T041	185	131.111	7.68379
E0502T042	190	131.366	8.08065
E0502T043	195	132.824	7.75151
E0502T044	200	133.843	7.52212
E0502T045	205	133.796	8.17161
E0502T046	210	136.181	8.33114
E0502T047	215	134.375	8.48763
E0502T048	220	135.694	8.03918
E0502T049	225	137.176	8.72703
E0502T050	230	139.815	9.25579
E0502T051	235	137.778	9.56188
E0502T052	240	140.995	10.0694
E0502T053	245	141.019	9.41619
E0502T054	250	141.181	10.2747
E0502T055	255	140.394	9.26839
E0502T056	260	142.037	9.37177
E0502T057	265	142.315	10.7346
E0502T058	270	141.921	10.085
E0502T059	275	144.306	10.3387
E0502T060	280	143.681	10.1368
E0502T061	285	144.421	10.7958
E0502T062	290	144.722	10.4417
E0502T063	295	143.356	9.40285
E0502T064	300	146.505	10.5481
E0502T065	305	145.764	10.6714
E0502T066	310	147.801	10.851
E0502T067	315	148.773	10.2729
E0502T068	320	148.032	9.75255
E0502T069	325	148.449	10.8281
E0502T070	330	148.125	10.0563
E0502T071	335	150.069	11.3897
E0502T072	340	151.343	10.1897
E0502T073	345	149.861	9.98101
E0502T074	350	150.556	10.223
E0502T075	355	151.806	10.7703
E0502T076	360	149.954	10.6969
E0502T077	365	150.324	11.3688
E0502T078	370	149.583	10.833
E0502T079	375	153.356	10.2316
E0502T080	380	151.505	9.42001
E0502T081	385	151.597	10.4841
E0502T082	390	154.699	10.141
E0502T083	395	152.755	9.40771
E0502T084	400	154.352	10.2113
E0502T085	405	152.083	10.4473
E0502T086	410	152.708	9.87146
E0502T087	415	152.801	9.21861
E0502T088	420	155.81	9.70703
E0502T089	425	153.171	9.40771
E0502T090	430	154.676	10.0964
E0502T091	435	154.421	9.6252
E0502T092	440	154.676	9.97471
E0502T093	445	156.366	10.5637
E0502T094	450	158.241	9.67618
E0502T095	455	156.62	10.0002
E0502T096	460	157.569	9.06363
E0502T097	465	156.296	9.95905
E0502T098	470	157.13	10.4892
E0502T099	475	157.94	11.1029
E0502T100	480	156.528	8.92534
E0502T101	485	157.639	10.4101
E0502T102	490	158.542	11.1754
E0502T103	495	157.963	8.90583
E0502T104	500	157.245	8.76924
E0502T105	505	158.773	8.54376
E0502T106	510	159.051	10.3104
E0502T107	515	159.398	9.8461
E0502T108	520	160.417	10.2772
E0502T109	525	159.236	10.3799
E0502T110	530	162.523	10.8165
E0502T111	535	158.565	8.59837
E0502T112	540	158.75	9.72108
E0502T113	545	159.398	9.95679
E0502T114	550	159.352	8.88173
E0502T115	555	160.069	9.47928
E0502T116	560	161.366	10.2267
E0502T117	565	161.481	9.6512
E0502T118	570	161.852	10.2327
E0502T119	575	159.398	10.2943
E0502T120	580	159.815	9.64046
E0502T121	585	161.111	9.09696
E0502T122	590	160.741	8.19998
E0502T123	595	162.731	9.14439
E0502T124	600	160.81	9.59055
E0502T125	605	160.787	9.65811
