!!SBtab Document='AKAP79tc' Version='1.0' TableName='X1000nM_cAMPCaN_AKAP79_1_uM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0603T001	-15	99.4778	0.268565
E0603T002	-10	99.2519	0.272633
E0603T003	-5	99.2852	0.322904
E0603T004	0	NA	NA
E0603T005	5	100.422	0.315589
E0603T006	10	100.237	0.357055
E0603T007	15	100.407	0.299844
E0603T008	20	100.778	0.299367
E0603T009	25	101.841	0.38376
E0603T010	30	102.278	0.330103
E0603T011	35	102.8	0.436473
E0603T012	40	103.533	0.417512
E0603T013	45	104.093	0.397933
E0603T014	50	105.015	0.426653
E0603T015	55	105.363	0.40821
E0603T016	60	106.144	0.405857
E0603T017	65	106.433	0.439437
E0603T018	70	107.274	0.377595
E0603T019	75	107.793	0.403626
E0603T020	80	108.4	0.384139
E0603T021	85	109.733	0.385617
E0603T022	90	109.922	0.531035
E0603T023	95	110.919	0.605755
E0603T024	100	111.793	0.494277
E0603T025	105	112.4	0.495491
E0603T026	110	113.078	0.558257
E0603T027	115	113.759	0.544882
E0603T028	120	114.374	0.55582
E0603T029	125	115.856	0.511116
E0603T030	130	116.426	0.564182
E0603T031	135	116.17	0.607779
E0603T032	140	117.293	0.560734
E0603T033	145	118.104	0.699041
E0603T034	150	118.426	0.600307
E0603T035	155	118.533	0.583938
E0603T036	160	119.719	0.661297
E0603T037	165	120.37	0.653483
E0603T038	170	121.411	0.508003
E0603T039	175	121.448	0.764938
E0603T040	180	122.026	0.683731
E0603T041	185	122.974	0.742693
E0603T042	190	123.074	0.710111
E0603T043	195	124.152	0.583962
E0603T044	200	124.048	0.802722
E0603T045	205	124.763	0.734485
E0603T046	210	125.73	0.726981
E0603T047	215	125.159	0.775948
E0603T048	220	126.404	0.79785
E0603T049	225	127.156	0.803469
E0603T050	230	127.719	0.80821
E0603T051	235	127.9	0.948381
E0603T052	240	129.233	0.830766
E0603T053	245	128.974	0.729602
E0603T054	250	130.193	0.826635
E0603T055	255	129.741	0.814587
E0603T056	260	130.648	0.863166
E0603T057	265	131.1	0.898455
E0603T058	270	131.67	0.714594
E0603T059	275	132.296	0.83749
E0603T060	280	132.526	0.848668
E0603T061	285	132.274	0.824925
E0603T062	290	133.081	0.938944
E0603T063	295	133.807	0.89479
E0603T064	300	133.856	0.88452
E0603T065	305	134.674	1.0377
E0603T066	310	135.156	0.909731
E0603T067	315	135.489	0.901634
E0603T068	320	135.141	0.790319
E0603T069	325	136.981	0.811987
E0603T070	330	136.633	0.822493
E0603T071	335	137.426	0.898721
E0603T072	340	137.919	0.783637
E0603T073	345	139.119	0.922542
E0603T074	350	138.889	0.828794
E0603T075	355	139.689	0.983952
E0603T076	360	139.085	0.967468
E0603T077	365	140.115	0.943086
E0603T078	370	140.53	0.925486
E0603T079	375	141.307	0.850716
E0603T080	380	141.407	0.819466
E0603T081	385	142.248	0.758949
E0603T082	390	141.841	0.915471
E0603T083	395	141.456	0.751095
E0603T084	400	142.615	0.941919
E0603T085	405	143.593	0.944974
E0603T086	410	142.607	0.708856
E0603T087	415	142.885	0.867652
E0603T088	420	144.367	0.867767
E0603T089	425	144.393	0.895153
E0603T090	430	144.126	0.89772
E0603T091	435	144.359	0.865744
E0603T092	440	146.03	0.846878
E0603T093	445	145.856	0.944313
E0603T094	450	145.804	0.87361
E0603T095	455	146.3	0.897519
E0603T096	460	145.615	0.898623
E0603T097	465	146.681	0.965581
E0603T098	470	146.619	1.0229
E0603T099	475	147.144	0.904469
E0603T100	480	147.222	0.946077
E0603T101	485	147.463	0.950612
E0603T102	490	147.752	1.14183
E0603T103	495	147.93	0.761456
E0603T104	500	147.026	0.794811
E0603T105	505	148.978	0.867566
E0603T106	510	149.252	0.856601
E0603T107	515	149.007	1.05766
E0603T108	520	149.678	1.09505
E0603T109	525	150.126	0.765144
E0603T110	530	149.456	0.916173
E0603T111	535	150.485	0.99397
E0603T112	540	150.27	0.860761
E0603T113	545	150.848	0.772444
E0603T114	550	151.067	0.959397
E0603T115	555	151.037	1.00197
E0603T116	560	151.226	1.02957
E0603T117	565	151.407	0.815113
E0603T118	570	151.93	0.913539
E0603T119	575	151.704	0.770209
E0603T120	580	152.167	0.870879
E0603T121	585	151.678	0.783768
E0603T122	590	153.089	0.875165
E0603T123	595	152.763	0.775325
E0603T124	600	152.559	1.00526
E0603T125	605	153.363	0.971409
