!!SBtab Document='AKAP79tc' Version='1.0' TableName='X200nM_cAMPCaN_AKAP79_200_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0403T001	-15	99.2361	1.22335
E0403T002	-10	98.5417	0.631821
E0403T003	-5	99.9769	0.640804
E0403T004	0	NA	NA
E0403T005	5	100.023	0.629556
E0403T006	10	99.6991	1.02716
E0403T007	15	99.9306	0.62271
E0403T008	20	99.6065	1.11968
E0403T009	25	98.1713	0.596935
E0403T010	30	99.6528	1.13489
E0403T011	35	98.4954	0.691222
E0403T012	40	99.7222	0.420932
E0403T013	45	98.6574	1.11976
E0403T014	50	99.3519	0.902481
E0403T015	55	99.6296	0.843559
E0403T016	60	100.023	0.813705
E0403T017	65	99.2824	0.457335
E0403T018	70	100.093	0.379893
E0403T019	75	99.6296	1.82973
E0403T020	80	99.7685	0.719705
E0403T021	85	100.949	1.35366
E0403T022	90	101.227	1.13174
E0403T023	95	100.486	1.5896
E0403T024	100	99.6759	1.06011
E0403T025	105	99.9537	2.15182
E0403T026	110	100.162	0.983093
E0403T027	115	101.551	1.73899
E0403T028	120	101.944	1.49636
E0403T029	125	101.644	1.88564
E0403T030	130	100.509	1.46133
E0403T031	135	101.69	1.63524
E0403T032	140	101.389	1.30344
E0403T033	145	102.755	1.62604
E0403T034	150	101.389	1.21316
E0403T035	155	100.093	2.86663
E0403T036	160	102.292	1.84078
E0403T037	165	100.787	2.45632
E0403T038	170	100.324	1.44164
E0403T039	175	101.389	1.61839
E0403T040	180	101.944	2.32621
E0403T041	185	102.593	3.20594
E0403T042	190	101.829	2.22234
E0403T043	195	102.731	2.86352
E0403T044	200	101.181	2.18898
E0403T045	205	102.963	2.88626
E0403T046	210	102.222	2.68758
E0403T047	215	103.102	2.3849
E0403T048	220	102.292	1.93205
E0403T049	225	103.704	2.38325
E0403T050	230	104.421	2.98156
E0403T051	235	103.681	3.30197
E0403T052	240	102.986	2.86274
E0403T053	245	103.981	3.32926
E0403T054	250	103.495	3.00424
E0403T055	255	103.403	2.50296
E0403T056	260	102.685	2.43837
E0403T057	265	104.421	3.67823
E0403T058	270	104.537	3.98381
E0403T059	275	103.634	2.84873
E0403T060	280	104.306	3.90328
E0403T061	285	104.56	2.79377
E0403T062	290	103.912	3.55375
E0403T063	295	101.968	2.98348
E0403T064	300	103.31	3.36859
E0403T065	305	104.167	4.10047
E0403T066	310	105.347	3.71187
E0403T067	315	103.611	3.13519
E0403T068	320	105.509	3.7521
E0403T069	325	104.398	3.54854
E0403T070	330	105.023	3.7032
E0403T071	335	105.255	3.20536
E0403T072	340	105.579	4.20581
E0403T073	345	104.769	4.35882
E0403T074	350	104.745	3.92043
E0403T075	355	105.139	3.86465
E0403T076	360	104.375	4.11966
E0403T077	365	105.139	3.89816
E0403T078	370	104.699	4.59592
E0403T079	375	104.722	3.73368
E0403T080	380	106.505	3.63387
E0403T081	385	106.551	3.83438
E0403T082	390	105.417	3.41224
E0403T083	395	105.208	3.86075
E0403T084	400	106.412	4.684
E0403T085	405	106.736	4.23324
E0403T086	410	105.463	3.72314
E0403T087	415	105.972	3.91571
E0403T088	420	106.898	4.5891
E0403T089	425	105.532	4.32474
E0403T090	430	107.616	3.79768
E0403T091	435	107.87	4.43833
E0403T092	440	106.644	5.46693
E0403T093	445	107.338	5.63198
E0403T094	450	106.62	5.05945
E0403T095	455	106.505	5.31748
E0403T096	460	106.991	5.10723
E0403T097	465	108.495	4.4064
E0403T098	470	107.917	5.37735
E0403T099	475	107.292	3.20424
E0403T100	480	106.806	4.80449
E0403T101	485	106.528	5.02814
E0403T102	490	108.704	5.07249
E0403T103	495	106.713	5.31642
E0403T104	500	106.69	5.25109
E0403T105	505	107.477	5.66777
E0403T106	510	110.231	5.32716
E0403T107	515	108.032	5.37534
E0403T108	520	108.056	4.13517
E0403T109	525	108.148	6.29096
E0403T110	530	108.079	4.66612
E0403T111	535	108.866	5.83546
E0403T112	540	110.185	5.21253
E0403T113	545	109.306	6.05821
E0403T114	550	108.171	5.52504
E0403T115	555	108.588	5.3531
E0403T116	560	109.699	6.15287
E0403T117	565	109.769	5.39406
E0403T118	570	108.009	5.81229
E0403T119	575	110.37	5.69313
E0403T120	580	109.792	5.18882
E0403T121	585	110.069	5.53331
E0403T122	590	109.468	5.94979
E0403T123	595	110.046	5.95917
E0403T124	600	108.681	5.37321
E0403T125	605	109.792	6.09019
