!!SBtab Document='AKAP79tc' Version='1.0' TableName='X200nM_cAMPCaN_only_200_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0402T001	-15	99.7917	1.34837
E0402T002	-10	100.023	0.639688
E0402T003	-5	100.324	0.689281
E0402T004	0	NA	NA
E0402T005	5	100.764	0.73335
E0402T006	10	99.213	0.737357
E0402T007	15	100.648	0.560676
E0402T008	20	100.069	0.186626
E0402T009	25	98.6574	0.883681
E0402T010	30	99.5833	1.26195
E0402T011	35	100.602	1.8739
E0402T012	40	100.81	1.02786
E0402T013	45	100.856	0.764824
E0402T014	50	100.185	0.967434
E0402T015	55	100.903	0.954329
E0402T016	60	102.5	1.50588
E0402T017	65	102.06	1.47247
E0402T018	70	102.685	2.02402
E0402T019	75	101.759	1.62719
E0402T020	80	101.944	2.08076
E0402T021	85	103.009	2.30724
E0402T022	90	104.606	2.16502
E0402T023	95	104.421	2.34833
E0402T024	100	104.769	2.06162
E0402T025	105	103.495	3.06894
E0402T026	110	105.046	2.58666
E0402T027	115	104.375	2.88065
E0402T028	120	104.861	3.11541
E0402T029	125	104.977	3.26192
E0402T030	130	106.875	3.56178
E0402T031	135	106.296	3.35193
E0402T032	140	105.995	3.77958
E0402T033	145	106.088	3.81008
E0402T034	150	106.181	3.46849
E0402T035	155	106.366	3.9785
E0402T036	160	106.412	4.15282
E0402T037	165	107.847	4.42033
E0402T038	170	108.38	4.85567
E0402T039	175	109.884	5.06959
E0402T040	180	110.185	5.11541
E0402T041	185	110.88	5.3885
E0402T042	190	109.699	5.55265
E0402T043	195	108.634	5.0156
E0402T044	200	109.954	5.3731
E0402T045	205	111.296	5.32964
E0402T046	210	112.431	5.63515
E0402T047	215	112.87	6.2512
E0402T048	220	112.616	5.99001
E0402T049	225	111.343	5.94212
E0402T050	230	113.912	6.67442
E0402T051	235	111.736	6.5213
E0402T052	240	112.662	6.33446
E0402T053	245	113.796	6.01745
E0402T054	250	115.046	6.94552
E0402T055	255	115.347	7.73849
E0402T056	260	114.19	5.9012
E0402T057	265	115.023	7.15438
E0402T058	270	115.093	7.06005
E0402T059	275	115.301	7.4823
E0402T060	280	115.255	7.10879
E0402T061	285	115.139	7.63187
E0402T062	290	115.532	7.49146
E0402T063	295	117.454	8.16781
E0402T064	300	118.657	7.91098
E0402T065	305	118.009	8.29057
E0402T066	310	117.824	8.01113
E0402T067	315	118.912	7.91449
E0402T068	320	119.514	8.07888
E0402T069	325	116.435	6.85368
E0402T070	330	118.38	7.58859
E0402T071	335	120.394	7.23501
E0402T072	340	120.579	8.0413
E0402T073	345	120.162	8.5141
E0402T074	350	120.278	9.01562
E0402T075	355	119.699	9.54493
E0402T076	360	120.856	8.35699
E0402T077	365	121.736	8.87854
E0402T078	370	121.644	8.53372
E0402T079	375	120.741	8.88334
E0402T080	380	120.949	7.95537
E0402T081	385	123.056	9.13653
E0402T082	390	122.523	9.22737
E0402T083	395	123.958	8.66309
E0402T084	400	123.426	9.20361
E0402T085	405	122.963	9.21851
E0402T086	410	124.514	10.0615
E0402T087	415	123.31	8.5364
E0402T088	420	124.375	9.42001
E0402T089	425	123.681	10.3214
E0402T090	430	123.727	8.70291
E0402T091	435	125.88	9.59339
E0402T092	440	124.028	10.2572
E0402T093	445	126.019	10.3164
E0402T094	450	124.12	9.44524
E0402T095	455	125.394	10.2029
E0402T096	460	126.921	9.41363
E0402T097	465	127.5	10.9625
E0402T098	470	127.801	9.76946
E0402T099	475	126.551	9.83215
E0402T100	480	126.991	10.5387
E0402T101	485	127.616	10.0874
E0402T102	490	126.944	9.8322
E0402T103	495	128.333	10.8034
E0402T104	500	128.773	11.2971
E0402T105	505	128.009	10.088
E0402T106	510	129.144	11.0428
E0402T107	515	129.329	11.723
E0402T108	520	129.444	11.452
E0402T109	525	130.255	12.0597
E0402T110	530	129.722	11.3407
E0402T111	535	129.931	10.7215
E0402T112	540	129.954	10.5453
E0402T113	545	132.778	12.0483
E0402T114	550	131.921	10.9258
E0402T115	555	130.972	11.0782
E0402T116	560	132.917	10.4001
E0402T117	565	130.255	11.1723
E0402T118	570	132.5	12.3208
E0402T119	575	130.602	10.7823
E0402T120	580	131.296	10.1285
E0402T121	585	130.926	11.5411
E0402T122	590	131.782	11.8942
E0402T123	595	132.87	11.0216
E0402T124	600	133.148	11.1077
E0402T125	605	133.38	12.1344
