!!SBtab Document='AKAP79tc' Version='1.0' TableName='X0uM_cAMPCaN_only_0_nM_cAMP' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0102T001	-15	102.037	0.883277
E0102T002	-10	99.9074	0.656907
E0102T003	-5	99.3519	0.835046
E0102T004	0	NA	NA
E0102T005	5	98.6111	1.4174
E0102T006	10	99.2593	1.24341
E0102T007	15	98.7346	1.99044
E0102T008	20	97.5	1.20844
E0102T009	25	98.9815	0.848625
E0102T010	30	98.9506	1.08025
E0102T011	35	97.037	0.889724
E0102T012	40	99.537	1.43543
E0102T013	45	98.3333	1.31273
E0102T014	50	100.586	1.42076
E0102T015	55	98.5802	0.729728
E0102T016	60	99.6296	1.73801
E0102T017	65	98.2407	1.72066
E0102T018	70	98.7654	0.454658
E0102T019	75	98.7037	1.55306
E0102T020	80	98.4877	1.3196
E0102T021	85	98.3642	1.69753
E0102T022	90	99.1049	1.48373
E0102T023	95	99.1975	0.642242
E0102T024	100	98.4877	0.326636
E0102T025	105	98.7346	1.17284
E0102T026	110	98.4259	1.2037
E0102T027	115	98.9198	0.687378
E0102T028	120	99.1667	1.49683
E0102T029	125	99.4444	0.883277
E0102T030	130	98.8272	0.800687
E0102T031	135	99.1049	0.938698
E0102T032	140	97.6235	1.51612
E0102T033	145	99.5062	0.857558
E0102T034	150	100.093	1.54197
E0102T035	155	99.8457	1.25295
E0102T036	160	98.8272	0.527408
E0102T037	165	98.3025	1.20291
E0102T038	170	99.1667	1.35557
E0102T039	175	99.537	1.27742
E0102T040	180	100.401	0.415235
E0102T041	185	100.278	1.76655
E0102T042	190	99.4753	1.46824
E0102T043	195	99.6605	0.428779
E0102T044	200	97.9012	0.85589
E0102T045	205	98.9198	1.67721
E0102T046	210	98.9815	1.64683
E0102T047	215	100.309	1.27219
E0102T048	220	100.278	0.602445
E0102T049	225	101.111	0.244977
E0102T050	230	99.2901	0.689454
E0102T051	235	100.679	1.01195
E0102T052	240	98.7963	0.754123
E0102T053	245	99.1358	1.49333
E0102T054	250	99.8148	0.754123
E0102T055	255	99.3827	1.29446
E0102T056	260	100.123	1.60494
E0102T057	265	101.204	1.81994
E0102T058	270	98.5494	2.54157
E0102T059	275	99.8765	1.22177
E0102T060	280	100.401	1.06961
E0102T061	285	99.4444	0.723171
E0102T062	290	100.556	0.927468
E0102T063	295	101.049	0.303977
E0102T064	300	100.401	1.04529
E0102T065	305	100.494	0.644463
E0102T066	310	100.34	1.21238
E0102T067	315	100.154	1.42076
E0102T068	320	100.401	2.17434
E0102T069	325	100.093	1.2963
E0102T070	330	100.494	1.61293
E0102T071	335	101.019	0.848625
E0102T072	340	100.401	1.22411
E0102T073	345	99.5988	1.23919
E0102T074	350	101.019	1.2974
E0102T075	355	100.525	0.394048
E0102T076	360	100.741	0.990063
E0102T077	365	101.636	0.642242
E0102T078	370	102.099	0.767892
E0102T079	375	100.401	1.00344
E0102T080	380	100.741	1.69977
E0102T081	385	99.5679	0.901425
E0102T082	390	101.142	1.23804
E0102T083	395	100.833	1.21081
E0102T084	400	101.296	1.10466
E0102T085	405	102.438	1.89783
E0102T086	410	102.315	0.927468
E0102T087	415	101.173	0.668408
E0102T088	420	100.432	0.811323
E0102T089	425	101.019	1.48245
E0102T090	430	102.963	1.03107
E0102T091	435	101.296	1.45521
E0102T092	440	100.525	0.535474
E0102T093	445	103.117	0.519216
E0102T094	450	102.809	1.30106
E0102T095	455	102.593	1.49683
E0102T096	460	101.698	1.21943
E0102T097	465	101.914	2.66721
E0102T098	470	102.5	1.48148
E0102T099	475	102.222	1.41438
E0102T100	480	102.315	1.64596
E0102T101	485	102.037	1.34286
E0102T102	490	104.105	1.01054
E0102T103	495	102.438	0.888653
E0102T104	500	103.086	1.49333
E0102T105	505	102.006	1.71845
E0102T106	510	102.346	1.40458
E0102T107	515	103.673	1.68571
E0102T108	520	103.951	0.818338
E0102T109	525	103.858	0.818338
E0102T110	530	103.765	1.79888
E0102T111	535	103.704	0.998685
E0102T112	540	103.179	1.14946
E0102T113	545	104.568	1.58973
E0102T114	550	103.272	1.37372
E0102T115	555	103.796	0.403602
E0102T116	560	102.623	1.3196
E0102T117	565	103.395	1.20291
E0102T118	570	102.623	1.37163
E0102T119	575	103.426	2.18003
E0102T120	580	104.043	1.52364
E0102T121	585	102.438	1.30982
E0102T122	590	104.383	1.01054
E0102T123	595	105.432	0.717883
E0102T124	600	104.568	1.15194
E0102T125	605	103.981	0.694959
