!!SBtab Document='AKAP79tc' Version='1.0' TableName='X2000nM_cAMPCaN_AKAP79_2_uM_cAMP' TableType='QuantityMatrix'			
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0303T001	-15	100.309	0.404780155821113
E0303T002	-10	99.0741	0.945774904076825
E0303T003	-5	99.5988	0.72972780355166
E0303T004	0	NA	
E0303T005	5	101.451	1.28337178310443
E0303T006	10	100.494	0.294425679449673
E0303T007	15	101.852	1.36502125848741
E0303T008	20	102.13	0.526503768803454
E0303T009	25	104.846	1.01053737924352
E0303T010	30	105.185	0.616511862822167
E0303T011	35	106.111	1.01570880690768
E0303T012	40	107.099	0.904589561095854
E0303T013	45	108.457	1.56436122191039
E0303T014	50	108.673	1.50286775604196
E0303T015	55	110.216	1.55795425483012
E0303T016	60	113.519	0.748417015616181
E0303T017	65	112.377	1.83194027799404
E0303T018	70	113.488	0.802469135802467
E0303T019	75	115.988	2.53255739807542
E0303T020	80	117.654	1.94027575870391
E0303T021	85	116.914	1.12686026318078
E0303T022	90	117.099	1.43477028384808
E0303T023	95	120.988	1.89632804435872
E0303T024	100	120.895	1.32068474662559
E0303T025	105	122.84	1.73169878260562
E0303T026	110	122.315	2.38054817262638
E0303T027	115	124.568	2.03024494292515
E0303T028	120	127.84	2.29393878716816
E0303T029	125	127.531	2.57729910176533
E0303T030	130	128.21	2.30698263467579
E0303T031	135	128.086	2.71394418975069
E0303T032	140	130.093	1.50540103682187
E0303T033	145	129.568	2.26888591969002
E0303T034	150	133.395	3.04165061598887
E0303T035	155	134.722	3.13586930034742
E0303T036	160	135.185	2.47125680507234
E0303T037	165	134.043	2.51897992626428
E0303T038	170	136.389	2.45384928522234
E0303T039	175	137.407	2.61290543374035
E0303T040	180	137.191	3.00240593460122
E0303T041	185	138.025	2.24864266667741
E0303T042	190	138.056	1.95177922885955
E0303T043	195	139.784	3.56625084645379
E0303T044	200	142.84	3.59577835924854
E0303T045	205	142.068	2.77794924024995
E0303T046	210	142.377	2.61691268039895
E0303T047	215	143.673	1.36537014571573
E0303T048	220	144.784	3.63726416361882
E0303T049	225	145.401	2.07411081684092
E0303T050	230	145.278	2.08693104992308
E0303T051	235	147.222	4.21914822037964
E0303T052	240	148.858	3.67439535466376
E0303T053	245	149.043	2.64299190087315
E0303T054	250	147.87	2.98458545579374
E0303T055	255	145.525	3.77149885688646
E0303T056	260	147.006	2.33162619632791
E0303T057	265	150.185	2.59644775099359
E0303T058	270	149.938	1.58071704040764
E0303T059	275	147.654	2.46508154805499
E0303T060	280	151.883	2.6413694932512
E0303T061	285	153.086	1.78932506674516
E0303T062	290	152.191	3.12140663698038
E0303T063	295	150.648	2.87484716597408
E0303T064	300	153.179	2.21986328843846
E0303T065	305	155	3.82030947929667
E0303T066	310	153.148	3.75123817388605
E0303T067	315	153.704	2.56321539469069
E0303T068	320	157.346	2.25372052636156
E0303T069	325	155.432	3.30852104993686
E0303T070	330	151.636	2.48356125608504
E0303T071	335	158.117	2.75833386863042
E0303T072	340	154.259	2.17214670492752
E0303T073	345	158.92	3.38452348757119
E0303T074	350	157.006	2.61691268039895
E0303T075	355	156.636	3.10119918199518
E0303T076	360	160.741	2.58099256754933
E0303T077	365	158.272	3.91391613622654
E0303T078	370	156.235	2.71762720724444
E0303T079	375	157.407	3.75884872781193
E0303T080	380	157.16	1.98180836502205
E0303T081	385	160.586	1.7109458705599
E0303T082	390	159.63	2.52785126289423
E0303T083	395	156.605	1.90534868321613
E0303T084	400	161.111	1.80733530517992
E0303T085	405	160.185	3.14860200069115
E0303T086	410	163.025	1.99044164659089
E0303T087	415	162.191	1.40457533987441
E0303T088	420	162.191	4.01981735472025
E0303T089	425	161.019	2.99509964048349
E0303T090	430	161.698	1.37475663279754
E0303T091	435	160.926	2.22286513333714
E0303T092	440	162.531	2.49675906372304
E0303T093	445	161.049	2.97131025840956
E0303T094	450	164.228	1.35697209487534
E0303T095	455	161.852	1.66752378509137
E0303T096	460	162.685	1.06782986987693
E0303T097	465	161.512	3.0734294529641
E0303T098	470	164.228	2.20759935089477
E0303T099	475	163.056	3.25657507316092
E0303T100	480	164.444	2.22286513333714
E0303T101	485	166.451	1.4237731598359
E0303T102	490	164.877	1.41167859580609
E0303T103	495	165.617	1.73828738769491
E0303T104	500	166.019	3.38818045620963
E0303T105	505	164.599	2.47433865419508
E0303T106	510	167.438	1.0425522070404
E0303T107	515	163.241	2.3642861731118
E0303T108	520	165.309	1.87967777513396
E0303T109	525	165.741	2.84537102320883
E0303T110	530	164.753	2.86904257089126
E0303T111	535	166.265	2.16511850707353
E0303T112	540	165.37	1.43543406842389
E0303T113	545	166.389	3.68552638162419
E0303T114	550	166.481	2.20932471212016
E0303T115	555	166.667	2.64010693136726
E0303T116	560	164.877	1.52551584645153
E0303T117	565	167.747	4.85098396409486
E0303T118	570	167.037	1.52426644751429
E0303T119	575	164.877	1.90084371483491
E0303T120	580	166.296	2.80999831583213
E0303T121	585	168.21	3.23515096997132
E0303T122	590	169.167	2.36428617311179
E0303T123	595	166.265	1.64364530317214
E0303T124	600	168.642	2.11841743406138
E0303T125	605	167.5	3.71102671104834
