id	time	AKAR4pOUT
E25T001	-15	109.8;6.19813
E25T002	-10	109.225;6.18375
E25T003	-5	110;6.20312
E25T004	0	112.175;6.2575
E25T005	5	108.625;6.16875
E25T006	10	111.05;6.22938
E25T007	15	111.075;6.23
E25T008	20	110.4;6.21312
E25T009	25	109.3;6.18562
E25T010	30	109.65;6.19438
E25T011	35	108.625;6.16875
E25T012	40	111.975;6.2525
E25T013	45	110.3;6.21063
E25T014	50	110.55;6.21687
E25T015	55	111.475;6.24
E25T016	60	112.25;6.25938
E25T017	65	110.8;6.22312
E25T018	70	111.4;6.23813
E25T019	75	111.1;6.23062
E25T020	80	110.625;6.21875
E25T021	85	111.725;6.24625
E25T022	90	111.325;6.23625
E25T023	95	112.1;6.25563
E25T024	100	112.075;6.255
E25T025	105	112.95;6.27688
E25T026	110	112.425;6.26375
E25T027	115	111.9;6.25063
E25T028	120	112.1;6.25563
E25T029	125	113.375;6.2875
E25T030	130	114.275;6.31
E25T031	135	113.375;6.2875
E25T032	140	112.3;6.26063
E25T033	145	115.225;6.33375
E25T034	150	114.225;6.30875
E25T035	155	113.9;6.30063
E25T036	160	112.775;6.2725
E25T037	165	115.625;6.34375
E25T038	170	112.05;6.25437
E25T039	175	113.825;6.29875
E25T040	180	114.45;6.31438
E25T041	185	113.525;6.29125
E25T042	190	114;6.30312
E25T043	195	115.3;6.33563
E25T044	200	114.9;6.32563
E25T045	205	115.9;6.35063
E25T046	210	115.475;6.34
E25T047	215	114.95;6.32688
E25T048	220	117.55;6.39188
E25T049	225	112.625;6.26875
E25T050	230	115.025;6.32875
E25T051	235	114.7;6.32062
E25T052	240	113.275;6.285
E25T053	245	116.4;6.36313
E25T054	250	116.05;6.35438
E25T055	255	116.025;6.35375
E25T056	260	114.775;6.3225
E25T057	265	118.2;6.40813
E25T058	270	116.175;6.3575
E25T059	275	116.45;6.36438
E25T060	280	116.225;6.35875
E25T061	285	118.15;6.40688
E25T062	290	116.1;6.35562
E25T063	295	117.4;6.38813
E25T064	300	116.475;6.365
E25T065	305	117.85;6.39938
E25T066	310	117.125;6.38125
E25T067	315	116.6;6.36813
E25T068	320	115.575;6.3425
E25T069	325	118.6;6.41812
E25T070	330	117.4;6.38813
E25T071	335	118.15;6.40688
E25T072	340	117.775;6.3975
E25T073	345	119.325;6.43625
E25T074	350	115.725;6.34625
E25T075	355	118.075;6.405
E25T076	360	119.075;6.43
E25T077	365	119.75;6.44688
E25T078	370	118.35;6.41188
E25T079	375	119.525;6.44125
E25T080	380	118.95;6.42688
E25T081	385	120.475;6.465
E25T082	390	118.7;6.42063
E25T083	395	120.775;6.4725
E25T084	400	119.725;6.44625
E25T085	405	119.475;6.44
E25T086	410	120.125;6.45625
E25T087	415	119.775;6.4475
E25T088	420	121.525;6.49125
