!!SBtab Document='AKAR4' Version='1.0' TableName='AKAR4_25nM' TableType='QuantityMatrix'	DataSource='Figure 3—figure supplement 1 in https://doi.org/10.7554/eLife.68164 (light blue)'		
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E25T001	-15	109.8	12.39625
E25T002	-10	109.225	12.3675
E25T003	-5	110	12.40625
E25T004	0	112.175	12.515
E25T005	5	108.625	12.3375
E25T006	10	111.05	12.45875
E25T007	15	111.075	12.46
E25T008	20	110.4	12.42625
E25T009	25	109.3	12.37125
E25T010	30	109.65	12.388750000000002
E25T011	35	108.625	12.3375
E25T012	40	111.975	12.504999999999999
E25T013	45	110.3	12.42125
E25T014	50	110.55	12.43375
E25T015	55	111.475	12.48
E25T016	60	112.25	12.51875
E25T017	65	110.8	12.44625
E25T018	70	111.4	12.47625
E25T019	75	111.1	12.46125
E25T020	80	110.625	12.4375
E25T021	85	111.725	12.4925
E25T022	90	111.325	12.4725
E25T023	95	112.1	12.51125
E25T024	100	112.075	12.510000000000002
E25T025	105	112.95	12.55375
E25T026	110	112.425	12.5275
E25T027	115	111.9	12.50125
E25T028	120	112.1	12.51125
E25T029	125	113.375	12.575
E25T030	130	114.275	12.620000000000001
E25T031	135	113.375	12.575
E25T032	140	112.3	12.52125
E25T033	145	115.225	12.6675
E25T034	150	114.225	12.6175
E25T035	155	113.9	12.60125
E25T036	160	112.775	12.545000000000002
E25T037	165	115.625	12.6875
E25T038	170	112.05	12.50875
E25T039	175	113.825	12.5975
E25T040	180	114.45	12.62875
E25T041	185	113.525	12.5825
E25T042	190	114	12.60625
E25T043	195	115.3	12.67125
E25T044	200	114.9	12.651250000000001
E25T045	205	115.9	12.701250000000002
E25T046	210	115.475	12.68
E25T047	215	114.95	12.65375
E25T048	220	117.55	12.783750000000001
E25T049	225	112.625	12.537500000000001
E25T050	230	115.025	12.6575
E25T051	235	114.7	12.64125
E25T052	240	113.275	12.57
E25T053	245	116.4	12.72625
E25T054	250	116.05	12.70875
E25T055	255	116.025	12.7075
E25T056	260	114.775	12.645
E25T057	265	118.2	12.81625
E25T058	270	116.175	12.715
E25T059	275	116.45	12.728750000000002
E25T060	280	116.225	12.717500000000001
E25T061	285	118.15	12.81375
E25T062	290	116.1	12.71125
E25T063	295	117.4	12.776250000000001
E25T064	300	116.475	12.73
E25T065	305	117.85	12.79875
E25T066	310	117.125	12.7625
E25T067	315	116.6	12.73625
E25T068	320	115.575	12.685
E25T069	325	118.6	12.83625
E25T070	330	117.4	12.776250000000001
E25T071	335	118.15	12.81375
E25T072	340	117.775	12.795000000000002
E25T073	345	119.325	12.8725
E25T074	350	115.725	12.692499999999999
E25T075	355	118.075	12.81
E25T076	360	119.075	12.86
E25T077	365	119.75	12.89375
E25T078	370	118.35	12.82375
E25T079	375	119.525	12.8825
E25T080	380	118.95	12.853750000000002
E25T081	385	120.475	12.93
E25T082	390	118.7	12.84125
E25T083	395	120.775	12.945
E25T084	400	119.725	12.8925
E25T085	405	119.475	12.879999999999999
E25T086	410	120.125	12.912500000000001
E25T087	415	119.775	12.895
E25T088	420	121.525	12.982500000000002
E25T089	425	118.675	12.84
E25T090	430	121.775	12.995000000000001
E25T091	435	121.15	12.963750000000001
E25T092	440	120.325	12.9225
E25T093	445	120.875	12.95
E25T094	450	121.575	12.985
E25T095	455	120.65	12.93875
E25T096	460	120.4	12.92625
E25T097	465	121.425	12.9775
E25T098	470	120.6	12.936250000000001
E25T099	475	122	13.006250000000001
E25T100	480	120.825	12.947500000000002
E25T101	485	123.2	13.06625
E25T102	490	122.175	13.015
E25T103	495	122.325	13.0225
E25T104	500	122.025	13.0075
E25T105	505	121.3	12.971250000000001
E25T106	510	123.9	13.10125
E25T107	515	122.575	13.035
E25T108	520	123.625	13.0875
E25T109	525	122.4	13.026250000000001
E25T110	530	122.3	13.02125
E25T111	535	122.325	13.0225
E25T112	540	124.1	13.11125
E25T113	545	123.95	13.103750000000002
E25T114	550	124.65	13.138750000000002
E25T115	555	123.125	13.0625
E25T116	560	124.35	13.123750000000001
E25T117	565	123.8	13.096250000000001
E25T118	570	125.75	13.193750000000001
E25T119	575	125.275	13.170000000000002
E25T120	580	122.675	13.04
E25T121	585	125.05	13.158750000000001
E25T122	590	125.45	13.17875
E25T123	595	126.375	13.225000000000001
E25T124	600	124.9	13.151250000000001
E25T125	605	126.35	13.223749999999999
E25T126	610	126	13.20625
E25T127	615	123.6	13.08625
E25T128	620	125.825	13.197500000000002
E25T129	625	125.4	13.17625
E25T130	630	125.2	13.166250000000002
E25T131	635	126.725	13.2425
E25T132	640	125.2	13.166250000000002
E25T133	645	124.925	13.1525
E25T134	650	125.85	13.19875
E25T135	655	124.5	13.131250000000001
E25T136	660	125.475	13.18
E25T137	665	127.025	13.2575
E25T138	670	127	13.256250000000001
E25T139	675	126.6	13.23625
E25T140	680	126.275	13.22
E25T141	685	129.275	13.370000000000001
E25T142	690	128.625	13.3375
E25T143	695	126.825	13.2475
E25T144	700	127.2	13.26625
E25T145	705	128.15	13.31375
E25T146	710	126.8	13.24625
E25T147	715	129.575	13.385
E25T148	720	127.825	13.2975
E25T149	725	128.9	13.35125
E25T150	730	127.8	13.29625
E25T151	735	128.375	13.325
E25T152	740	128.9	13.35125
E25T153	745	129.6	13.38625
E25T154	750	128.55	13.333750000000002
E25T155	755	129.625	13.3875
E25T156	760	127.775	13.295000000000002
E25T157	765	129.2	13.36625
E25T158	770	127.575	13.285
E25T159	775	129.2	13.36625
E25T160	780	130.7	13.44125
E25T161	785	128.175	13.315000000000001
E25T162	790	129.9	13.401250000000001
E25T163	795	127.55	13.283750000000001
E25T164	800	130.1	13.411249999999999
E25T165	805	129.125	13.3625
E25T166	810	130.125	13.412500000000001
E25T167	815	130.125	13.412500000000001
E25T168	820	131.1	13.46125
E25T169	825	129.85	13.39875
E25T170	830	129.075	13.36
E25T171	835	132.975	13.555
E25T172	840	131.075	13.46
E25T173	845	131.675	13.490000000000002
E25T174	850	132.275	13.52
E25T175	855	133.25	13.568750000000001
E25T176	860	130.875	13.45
E25T177	865	131.7	13.49125
E25T178	870	134.3	13.62125
E25T179	875	132.825	13.5475
E25T180	880	131.75	13.49375
E25T181	885	133.275	13.57
