!!SBtab Document='AKAR4cl' Version='1.0' TableName='AKAR4_100nM' TableType='QuantityMatrix' DataSource='Figure 3—figure supplement 1 in https://doi.org/10.7554/eLife.68164 (gray)'			
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E100T001	-15	109.6	14.41
E100T002	-10	109.775	14.41875
E100T003	-5	109.55	14.407499999999999
E100T004	0	113.375	14.598749999999999
E100T005	5	110.15	14.4375
E100T006	10	110.475	14.45375
E100T007	15	110.775	14.46875
E100T008	20	111.125	14.48625
E100T009	25	111.625	14.51125
E100T010	30	111.45	14.502500000000001
E100T011	35	114.05	14.6325
E100T012	40	113.7	14.615
E100T013	45	114.525	14.65625
E100T014	50	114.775	14.66875
E100T015	55	115.8	14.719999999999999
E100T016	60	116.825	14.77125
E100T017	65	115.775	14.71875
E100T018	70	116.25	14.7425
E100T019	75	117.775	14.818750000000001
E100T020	80	117.4	14.8
E100T021	85	117.525	14.80625
E100T022	90	118.3	14.844999999999999
E100T023	95	120.075	14.93375
E100T024	100	120.05	14.932500000000001
E100T025	105	120.525	14.95625
E100T026	110	122.4	15.05
E100T027	115	121.675	15.01375
E100T028	120	120.275	14.943750000000001
E100T029	125	123.05	15.0825
E100T030	130	121.95	15.0275
E100T031	135	122.025	15.03125
E100T032	140	121.775	15.01875
E100T033	145	124.4	15.15
E100T034	150	125.775	15.21875
E100T035	155	127.025	15.28125
E100T036	160	126.775	15.26875
E100T037	165	125.95	15.2275
E100T038	170	126.225	15.24125
E100T039	175	126.5	15.254999999999999
E100T040	180	128	15.33
E100T041	185	127.825	15.32125
E100T042	190	128.25	15.342500000000001
E100T043	195	129.725	15.41625
E100T044	200	129.125	15.38625
E100T045	205	129.75	15.4175
E100T046	210	133	15.58
E100T047	215	132.8	15.57
E100T048	220	131.975	15.528749999999999
E100T049	225	132.95	15.5775
E100T050	230	134.1	15.635
E100T051	235	133.975	15.62875
E100T052	240	131.375	15.498750000000001
E100T053	245	133.325	15.59625
E100T054	250	133.4	15.600000000000001
E100T055	255	135.25	15.692499999999999
E100T056	260	137.975	15.82875
E100T057	265	136.6	15.76
E100T058	270	137.575	15.80875
E100T059	275	137.275	15.79375
