!!SBtab	SBtabVersion='1.0' Document='CaMKIIs' TableType='QuantityMatrix' TableName='Bradshaw2003Fig2E' TableTitle='[Nair 2014 Figure 12.3E] Ca CaM binding hyperbolic' 
!ID	>Ca_set	>AutoCaMKII	SD_AutoCaMKII
E0D0	175.8	1.04	11.9953
E0D1	236	1.38	11.9953
E0D2	313.3	1.04	11.9953
E0D3	426.6	1.04	11.9953
E0D4	564.9	1.04	11.9953
E0D5	749.9	3.46	11.9953
E0D6	1006.9	7.63	11.9953
E0D7	1336.6	29.47	11.9953
E0D8	1794.7	60.34	11.9953
E0D9	2349.6	82.19	11.9953
E0D10	3198.9	93.98	11.9953
E0D11	4246.2	95.37	11.9953
E0D12	5623.4	102.65	11.9953
E0D13	7568.3	95.37	11.9953
E0D14	10303.9	100.92	11.9953
E0D15	13489.6	98.15	11.9953
E0D16	18113.4	103	11.9953
