!!SBtab	SBtabVersion='1.0' Document='CaMKIIs' TableType='QuantityMatrix' TableName='Shifman2006Fig1Bsq' TableTitle='[Nair 2014 Figure 12.3D] CaN-CaM' 
!ID	>Ca_set	>CaPerCaM	SD_CaPerCaM
E1D0	364	0.011	0.3985
E1D1	2305	1.196	0.3985
E1D2	2548	1.464	0.3985
E1D3	2912	1.743	0.3985
E1D4	3640	1.956	0.3985
E1D5	4126	2.09	0.3985
E1D6	3762	2.291	0.3985
E1D7	4611	2.38	0.3985
E1D8	4247	2.559	0.3985
E1D9	5461	2.604	0.3985
E1D10	4611	2.85	0.3985
E1D11	6067	2.917	0.3985
E1D12	5339	3.04	0.3985
E1D13	6796	3.163	0.3985
E1D14	6067	3.23	0.3985
E1D15	7281	3.465	0.3985
E1D16	8495	3.61	0.3985
E1D17	9344	3.856	0.3985
E1D18	24393	3.994	0.3985
E1D19	34101	3.996	0.3985
