id	time	Camonitor
SpikeSeriest000	0	100;500
SpikeSeriest001	10	100;500
SpikeSeriest002	20	100;500
SpikeSeriest003	30	100;500
SpikeSeriest004	40	100;500
SpikeSeriest005	50	100;500
SpikeSeriest006	60	100;500
SpikeSeriest007	70	100;500
SpikeSeriest008	80	100;500
SpikeSeriest009	90	100;500
SpikeSeriest010	100	100;500
SpikeSeriest011	110	100;500
SpikeSeriest012	120	100;500
SpikeSeriest013	130	100;500
SpikeSeriest014	140	100;500
SpikeSeriest015	150	100;500
SpikeSeriest016	160	100;500
SpikeSeriest017	170	100;500
SpikeSeriest018	180	100;500
SpikeSeriest019	190	100;500
SpikeSeriest020	200	100;500
SpikeSeriest021	210	100;500
SpikeSeriest022	220	100;500
SpikeSeriest023	230	100;500
SpikeSeriest024	240	100;500
SpikeSeriest025	250	100;500
SpikeSeriest026	260	100;500
SpikeSeriest027	270	100;500
SpikeSeriest028	280	100;500
SpikeSeriest029	290	100;500
SpikeSeriest030	300	100;500
SpikeSeriest031	310	100;500
SpikeSeriest032	320	100;500
SpikeSeriest033	330	100;500
SpikeSeriest034	340	100;500
SpikeSeriest035	350	100;500
SpikeSeriest036	360	100;500
SpikeSeriest037	370	100;500
SpikeSeriest038	380	100;500
SpikeSeriest039	390	100;500
SpikeSeriest040	400	100;500
SpikeSeriest041	410	100;500
SpikeSeriest042	420	100;500
SpikeSeriest043	430	100;500
SpikeSeriest044	440	100;500
SpikeSeriest045	450	100;500
SpikeSeriest046	460	100;500
SpikeSeriest047	470	100;500
SpikeSeriest048	480	100;500
SpikeSeriest049	490	100;500
SpikeSeriest050	500	100;500
SpikeSeriest051	510	100;500
SpikeSeriest052	520	100;500
SpikeSeriest053	530	100;500
SpikeSeriest054	540	100;500
SpikeSeriest055	550	100;500
SpikeSeriest056	560	100;500
SpikeSeriest057	570	100;500
SpikeSeriest058	580	100;500
SpikeSeriest059	590	100;500
SpikeSeriest060	600	100;500
