!!SBtab	SBtabVersion='1.0' Document='CaMKII' TableType='QuantityMatrix' TableName='Stemmer1993Fig2Afc' TableTitle='[Nair2014 Figure 12.3A] CaMKII-Autonomy' 
!ID	>Ca_set	>CaPerCaM	~CaPerCaM
E5D0	457.088	0.166	0.268552
E5D1	831.763	0.342	0.268552
E5D2	1122.018	0.528	0.268552
E5D3	1513.561	0.753	0.268552
E5D4	1949.844	0.909	0.268552
E5D5	2398.832	1.115	0.268552
E5D6	2818.382	1.311	0.268552
E5D7	3467.368	1.477	0.268552
E5D8	4168.693	1.682	0.268552
E5D9	5128.613	1.839	0.268552
E5D10	5754.399	2.015	0.268552
E5D11	7585.775	2.142	0.268552
E5D12	8317.637	2.328	0.268552
E5D13	11481.536	2.426	0.268552
E5D14	14791.083	2.69	0.268552
E5D15	15135.612	2.857	0.268552
E5D16	26302.679	3.111	0.268552
E5D17	26915.348	3.287	0.268552
E5D18	39810.717	3.395	0.268552
E5D19	40738.027	3.551	0.268552
E5D20	53703.179	3.6	0.268552
E5D21	70794.578	3.649	0.268552
E5D22	93325.43	3.855	0.268552
E5D23	151356.124	3.796	0.268552
E5D24	194984.459	4.021	0.268552
E5D25	257039.578	3.894	0.268552
E5D26	346736.85	3.953	0.268552
E5D27	524807.46	4.001	0.268552
E5D28	676082.975	4.06	0.268552
