id	unit	value	is constant	type	location
CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
PP2B_CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
CaMKII_CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca4	micromole/litre	0	FALSE	kinetic	synapse
pCaMKIIa	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca3	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca2	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM_Ca1	micromole/litre	0	FALSE	kinetic	synapse
pCaMKII_CaM	micromole/litre	0	FALSE	kinetic	synapse
PP1__pCaMKIIa	micromole/litre	0	FALSE	kinetic	synapse

