!!SBtab	Document='CaMKIIs' TableName='EventScheduleODonnel2010Fig3Co'		
!TimePoint	!Time	!Transformation	!Dose
ODTP01	0	CaMSeq	1
ODTP02	10	CaMSeq	26.9
ODTP03	20	CaMSeq	67.6
ODTP04	30	CaMSeq	158.5
ODTP05	40	CaMSeq	407.4
ODTP06	50	CaMSeq	812.8
ODTP07	60	CaMSeq	1659.6
ODTP08	70	CaMSeq	2630.3
ODTP09	80	CaMSeq	5370.3
ODTP10	90	CaMSeq	7943.3
ODTP11	100	CaMSeq	12022.6
ODTP12	110	CaMSeq	16218.1
ODTP13	120	CaMSeq	23988.3
ODTP14	130	CaMSeq	35481.3
ODTP15	140	CaMSeq	48977.9
ODTP16	150	CaMSeq	63095.7
ODTP17	160	CaMSeq	85113.8
ODTP18	170	CaMSeq	125892.5
ODTP19	180	CaMSeq	199526.2
ODTP20	190	CaMSeq	229086.8
