!!SBtab	TableName='Reaction' TableType='Reaction' TableTitle='CaMKIIs Reaction Fluxes' SBtabVersion='1.0' Document='CaMKIIs'			
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
ReactionFlux1	ReactionFlux1	(kf__CaM__Ca*Ca*CaM)-(kr__CaM__Ca*CaM_Ca1)	TRUE	synapse	Ca + CaM <=> CaM_Ca1
ReactionFlux2	ReactionFlux2	(kf__CaM_Ca1__Ca*Ca*CaM_Ca1)-(kr__CaM_Ca1__Ca*CaM_Ca2)	TRUE	synapse	Ca + CaM_Ca1 <=> CaM_Ca2
ReactionFlux3	ReactionFlux3	(kf__CaM_Ca2__Ca*Ca*CaM_Ca2)-(kr__CaM_Ca2__Ca*CaM_Ca3)	TRUE	synapse	Ca + CaM_Ca2 <=> CaM_Ca3
ReactionFlux4	ReactionFlux4	(kf__CaM_Ca3__Ca*CaM_Ca3*Ca)-(kr__CaM_Ca3__Ca*CaM_Ca4)	TRUE	synapse	CaM_Ca3 + Ca <=> CaM_Ca4
ReactionFlux5	ReactionFlux5	(kf__CaM__PP2B*CaM*PP2B)-(kr__CaM__PP2B*PP2B_CaM)	TRUE	synapse	CaM + PP2B <=> PP2B_CaM
ReactionFlux6	ReactionFlux6	(kf__CaM_Ca1__PP2B*CaM_Ca1*PP2B)-(kr__CaM_Ca1__PP2B*PP2B_CaM_Ca1)	TRUE	synapse	CaM_Ca1 + PP2B <=> PP2B_CaM_Ca1
ReactionFlux7	ReactionFlux7	(kf__CaM_Ca2__PP2B*CaM_Ca2*PP2B)-(kr__CaM_Ca2__PP2B*PP2B_CaM_Ca2)	TRUE	synapse	CaM_Ca2 + PP2B <=> PP2B_CaM_Ca2
ReactionFlux8	ReactionFlux8	(kf__CaM_Ca3__PP2B*CaM_Ca3*PP2B)-(kr__CaM_Ca3__PP2B*PP2B_CaM_Ca3)	TRUE	synapse	CaM_Ca3 + PP2B <=> PP2B_CaM_Ca3
ReactionFlux9	ReactionFlux9	(kf__CaM_Ca4__PP2B*CaM_Ca4*PP2B)-(kr__CaM_Ca4__PP2B*PP2B_CaM_Ca4)	TRUE	synapse	CaM_Ca4 + PP2B <=> PP2B_CaM_Ca4
ReactionFlux10	ReactionFlux10	(kf__PP2B_CaM__Ca*PP2B_CaM*Ca)-(kr__PP2B_CaM__Ca*PP2B_CaM_Ca1)	TRUE	synapse	PP2B_CaM + Ca <=> PP2B_CaM_Ca1
ReactionFlux11	ReactionFlux11	(kf__PP2B_CaM_Ca1__Ca*PP2B_CaM_Ca1*Ca)-(kr__PP2B_CaM_Ca1__Ca*PP2B_CaM_Ca2)	TRUE	synapse	PP2B_CaM_Ca1 + Ca <=> PP2B_CaM_Ca2
ReactionFlux12	ReactionFlux12	(kf__PP2B_CaM_Ca2__Ca*PP2B_CaM_Ca2*Ca)-(kr__PP2B_CaM_Ca2__Ca*PP2B_CaM_Ca3)	TRUE	synapse	PP2B_CaM_Ca2 + Ca <=> PP2B_CaM_Ca3
ReactionFlux13	ReactionFlux13	(kf__PP2B_CaM_Ca3__Ca*PP2B_CaM_Ca3*Ca)-(kr__PP2B_CaM_Ca3__Ca*PP2B_CaM_Ca4)	TRUE	synapse	PP2B_CaM_Ca3 + Ca <=> PP2B_CaM_Ca4
ReactionFlux14	ReactionFlux14	(kf__CaM__CaMKII*CaM*CaMKII)-(kr__CaM__CaMKII*CaMKII_CaM)	TRUE	synapse	CaM + CaMKII <=> CaMKII_CaM
ReactionFlux15	ReactionFlux15	(kf__CaM_Ca1__CaMKII*CaM_Ca1*CaMKII)-(kr__CaM_Ca1__CaMKII*CaMKII_CaM_Ca1)	TRUE	synapse	CaM_Ca1 + CaMKII <=> CaMKII_CaM_Ca1
ReactionFlux16	ReactionFlux16	(kf__CaM_Ca2__CaMKII*CaM_Ca2*CaMKII)-(kr__CaM_Ca2__CaMKII*CaMKII_CaM_Ca2)	TRUE	synapse	CaM_Ca2 + CaMKII <=> CaMKII_CaM_Ca2
ReactionFlux17	ReactionFlux17	(kf__CaM_Ca3__CaMKII*CaM_Ca3*CaMKII)-(kr__CaM_Ca3__CaMKII*CaMKII_CaM_Ca3)	TRUE	synapse	CaM_Ca3 + CaMKII <=> CaMKII_CaM_Ca3
ReactionFlux18	ReactionFlux18	(kf__CaM_Ca4__CaMKII*CaM_Ca4*CaMKII)-(kr__CaM_Ca4__CaMKII*CaMKII_CaM_Ca4)	TRUE	synapse	CaM_Ca4 + CaMKII <=> CaMKII_CaM_Ca4
ReactionFlux19	ReactionFlux19	(kf__CaMKII_CaM__Ca*Ca*CaMKII_CaM)-(kr__CaMKII_CaM__Ca*CaMKII_CaM_Ca1)	TRUE	synapse	Ca + CaMKII_CaM <=> CaMKII_CaM_Ca1
ReactionFlux20	ReactionFlux20	(kf__CaMKII_CaM_Ca1__Ca*CaMKII_CaM_Ca1*Ca)-(kr__CaMKII_CaM_Ca1__Ca*CaMKII_CaM_Ca2)	TRUE	synapse	CaMKII_CaM_Ca1 + Ca <=> CaMKII_CaM_Ca2
ReactionFlux21	ReactionFlux21	(kf__CaMKII_CaM_Ca2__Ca*CaMKII_CaM_Ca2*Ca)-(kr__CaMKII_CaM_Ca2__Ca*CaMKII_CaM_Ca3)	TRUE	synapse	CaMKII_CaM_Ca2 + Ca <=> CaMKII_CaM_Ca3
ReactionFlux22	ReactionFlux22	(kf__CaMKII_CaM_Ca3__Ca*CaMKII_CaM_Ca3*Ca)-(kr__CaMKII_CaM_Ca3__Ca*CaMKII_CaM_Ca4)	TRUE	synapse	CaMKII_CaM_Ca3 + Ca <=> CaMKII_CaM_Ca4
ReactionFlux23	ReactionFlux23	(kf__CaM_Ca4__pCaMKIIa*CaM_Ca4*pCaMKIIa)-(kr__CaM_Ca4__pCaMKIIa*pCaMKII_CaM_Ca4)	TRUE	synapse	CaM_Ca4 + pCaMKIIa <=> pCaMKII_CaM_Ca4
ReactionFlux24	ReactionFlux24	(kf__CaM_Ca3__pCaMKIIa*CaM_Ca3*pCaMKIIa)-(kr__CaM_Ca3__pCaMKIIa*pCaMKII_CaM_Ca3)	TRUE	synapse	CaM_Ca3 + pCaMKIIa <=> pCaMKII_CaM_Ca3
ReactionFlux25	ReactionFlux25	(kf__CaM_Ca2__pCaMKIIa*CaM_Ca2*pCaMKIIa)-(kr__CaM_Ca2__pCaMKIIa*pCaMKII_CaM_Ca2)	TRUE	synapse	CaM_Ca2 + pCaMKIIa <=> pCaMKII_CaM_Ca2
ReactionFlux26	ReactionFlux26	(kf__CaM_Ca1__pCaMKIIa*CaM_Ca1*pCaMKIIa)-(kr__CaM_Ca1__pCaMKIIa*pCaMKII_CaM_Ca1)	TRUE	synapse	CaM_Ca1 + pCaMKIIa <=> pCaMKII_CaM_Ca1
ReactionFlux27	ReactionFlux27	(kf__CaM__pCaMKIIa*CaM*pCaMKIIa)-(kr__CaM__pCaMKIIa*pCaMKII_CaM)	TRUE	synapse	CaM + pCaMKIIa <=> pCaMKII_CaM
ReactionFlux28	ReactionFlux28	(kf__pCaMKII_CaM__Ca*pCaMKII_CaM*Ca)-(kr__pCaMKII_CaM__Ca*pCaMKII_CaM_Ca1)	TRUE	synapse	pCaMKII_CaM + Ca <=> pCaMKII_CaM_Ca1
ReactionFlux29	ReactionFlux29	(kf__pCaMKII_CaM_Ca1__Ca*pCaMKII_CaM_Ca1*Ca)-(kr__pCaMKII_CaM_Ca1__Ca*pCaMKII_CaM_Ca2)	TRUE	synapse	pCaMKII_CaM_Ca1 + Ca <=> pCaMKII_CaM_Ca2
ReactionFlux30	ReactionFlux30	(kf__pCaMKII_CaM_Ca2__Ca*pCaMKII_CaM_Ca2*Ca)-(kr__pCaMKII_CaM_Ca2__Ca*pCaMKII_CaM_Ca3)	TRUE	synapse	pCaMKII_CaM_Ca2 + Ca <=> pCaMKII_CaM_Ca3
ReactionFlux31	ReactionFlux31	(kf__pCaMKII_CaM_Ca3__Ca*pCaMKII_CaM_Ca3*Ca)-(kr__pCaMKII_CaM_Ca3__Ca*pCaMKII_CaM_Ca4)	TRUE	synapse	pCaMKII_CaM_Ca3 + Ca <=> pCaMKII_CaM_Ca4
ReactionFlux32	ReactionFlux32	(kautMax*pairedCaMKIIc*CaMKII_CaM_Ca4)	TRUE	synapse	CaMKII_CaM_Ca4 <=> pCaMKII_CaM_Ca4
ReactionFlux33	ReactionFlux33	(kf__PP1__pCaMKIIa*pCaMKIIa*PP1)-(kr__PP1__pCaMKIIa*PP1__pCaMKIIa)	TRUE	synapse	pCaMKIIa + PP1 <=> PP1__pCaMKIIa
ReactionFlux34	ReactionFlux34	(kcat__PP1__pCaMKIIa*PP1__pCaMKIIa)	TRUE	synapse	PP1__pCaMKIIa <=> CaMKII + PP1

