!!SBtab	SBtabVersion='1.0' Document='CaMKIIs' TableType='QuantityMatrix' TableName='Stemmer1993Fig2Afc' TableTitle='[Nair2014 Figure 12.3A] CaMKII-Autonomy' 		
!TimePoint	!Time	>CaPerCaM	~CaPerCaM
E5D0	10	0.166	0.268552
E5D1	20	0.342	0.268552
E5D2	30	0.528	0.268552
E5D3	40	0.753	0.268552
E5D4	50	0.909	0.268552
E5D5	60	1.115	0.268552
E5D6	70	1.311	0.268552
E5D7	80	1.477	0.268552
E5D8	90	1.682	0.268552
E5D9	100	1.839	0.268552
E5D10	110	2.015	0.268552
E5D11	120	2.142	0.268552
E5D12	130	2.328	0.268552
E5D13	140	2.426	0.268552
E5D14	150	2.69	0.268552
E5D15	160	2.857	0.268552
E5D16	170	3.111	0.268552
E5D17	180	3.287	0.268552
E5D18	190	3.395	0.268552
E5D19	200	3.551	0.268552
E5D20	210	3.6	0.268552
E5D21	220	3.649	0.268552
E5D22	230	3.855	0.268552
E5D23	240	3.796	0.268552
E5D24	250	4.021	0.268552
E5D25	260	3.894	0.268552
E5D26	270	3.953	0.268552
E5D27	280	4.001	0.268552
E5D28	290	4.06	0.268552
